OT_PTGN_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTGN_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTGN_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTGN_A/czyObiektBDOO/__text,OT_PTGN_A/x_kod/__text,OT_PTGN_A/x_skrKarto/_xsi:nil,OT_PTGN_A/x_skrKarto/_nilReason,OT_PTGN_A/x_katDoklGeom/__text,OT_PTGN_A/x_zrodloDanychG/__text,OT_PTGN_A/x_zrodloDanychA/__text,OT_PTGN_A/x_katIstnienia/_xsi:nil,OT_PTGN_A/x_katIstnienia/_nilReason,OT_PTGN_A/x_rodzajReprGeom/__text,OT_PTGN_A/x_uzytkownik/_xlink:href,OT_PTGN_A/x_aktualnoscG/__text,OT_PTGN_A/x_aktualnoscA/__text,OT_PTGN_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTGN_A/x_dataUtworzenia/__text,OT_PTGN_A/x_kodKarto10k/__text,OT_PTGN_A/x_kodKarto25k/__text,OT_PTGN_A/x_kodKarto50k/__text,OT_PTGN_A/x_kodKarto100k/__text,OT_PTGN_A/x_kodKarto250k/_xsi:nil,OT_PTGN_A/x_kodKarto250k/_nilReason,OT_PTGN_A/x_kodKarto500k/_xsi:nil,OT_PTGN_A/x_kodKarto500k/_nilReason,OT_PTGN_A/x_kodKarto1000k/_xsi:nil,OT_PTGN_A/x_kodKarto1000k/_nilReason,OT_PTGN_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTGN_A/geometria/Polygon/_gml:id,OT_PTGN_A/geometria/Polygon/_srsName,OT_PTGN_A/geometria/Polygon/_srsDimension,OT_PTGN_A/rodzaj/__text,OT_PTGN_A/_gml:id
2CE79A9C-9320-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN04,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_736,0025_736,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,469078.08 572517.67 469081.39 572547.96 469114.89 572542.54 469116.8 572542.24 469156.87 572505.63 469205.71 572502.37 469200.13 572466.01 469199.6 572462.59 469197.51 572448.94 469126.74 572460.28 469099.84 572464.6 469107.15 572513.62 469078.08 572517.67,g_7,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.632
2CE79A9C-9321-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN04,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_736,0025_736,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,470656.21 574655.91 470657.18 574667.49 470661.52 574675.69 470672.98 574675.94 470675.8 574676.02 470682.77 574697.18 470686.28 574710.53 470690.84 574731.26 470702.43 574741.44 470750.53 574728.09 470772.65 574714.04 470777.56 574698.8 470772.3 574670.7 470798.28 574661.92 470745.97 574615.91 470734.73 574630.66 470700.95 574619.24 470680.03 574607.78 470674.8 574619.99 470672.64 574620.62 470664.17 574620.7 470658.14 574628.41 470656.46 574636.61 470656.21 574655.91,g_40,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.634
2CE79A9C-9322-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN04,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_736,0025_736,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,470178.47 567312.08 470194.14 567428.95 470304.15 567464.84 470357.3 567402.02 470311.83 567363.55 470308.28 567350.71 470213.08 567271.69 470178.47 567312.08,g_73,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.633
2CE79A9C-9323-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN04,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_736,0025_736_small,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,473379.9 574671.72 473383.04 574673.29 473382.17 574681.78 473406.67 574685.35 473416.62 574679.59 473419.4 574614.09 473420.46 574589.09 473398.81 574588.24 473395.9 574638.15 473382.29 574637.83 473379.9 574671.72,g_106,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.636
2CE79A9C-9324-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN04,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_736,0025_736_small,0050_736_small,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,481185.47 574638.47 481186.83 574657.31 481200.07 574674.28 481206.35 574684.98 481221.44 574690.56 481223.01 574687.45 481234.5 574664.66 481239.09 574656.46 481242.2 574651.05 481235.53 574627.61 481224.67 574612.5 481216.19 574612.33 481203.46 574614.37 481191.75 574623.7 481185.47 574638.47,g_139,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.638
2CE79A9C-9325-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,470881.28 568628.07 470899.05 568641.05 470892.3 568653.14 470902.07 568659.9 470910.96 568657.23 470916.82 568659.55 470934.95 568676.26 470946.85 568676.44 470958.76 568663.99 470970.66 568655.28 470979.37 568652.97 470987.37 568648.34 470989.85 568639.27 470985.98 568626.98 470962.4 568604.16 471014.97 568567.26 471000.7 568560.15 470974.93 568564.06 470972.44 568557.66 470991.99 568539.34 470986.84 568526.01 470971.38 568523.16 470939.93 568505.56 470927.13 568514.27 470930.15 568527.61 470949.34 568547.88 470957.07 568557.4 470959.56 568567.18 470947.92 568570.46 470923.4 568584.68 470916.29 568595.18 470905.45 568610.29 470881.28 568628.07,g_172,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.639
2CE79A9C-9326-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,475495.64 570588.29 475505.19 570615.7 475599.47 570656.2 475629.89 570570.12 475632.08 570564.26 475538.84 570532.95 475525.31 570570.62 475517.01 570590.05 475500.67 570584.01 475495.64 570588.29,g_205,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.6311
2CE79A9C-9327-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_737,0025_737,0050_737,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,473169.66 568516.53 473176.01 568534.93 473182.06 568526.2 473196.64 568519.52 473225.79 568514.65 473257.98 568514.65 473301.1 568510.4 473335.71 568496.42 473383.69 568496.42 473407.38 568501.29 473434.71 568505.54 473452.93 568498.85 473477.22 568492.17 473496.05 568497.64 473537.95 568489.74 473567.1 568490.95 473591.4 568497.03 473631.55 568505.99 473644.18 568484.83 473657.37 568428.72 473663.11 568393.65 473664.37 568367.14 473658.95 568327.68 473641.35 568351.84 473631.5 568356.76 473621.11 568356.76 473577.91 568337.07 473545.09 568329.42 473496.96 568326.68 473462.51 568327.77 473429.69 568332.7 473407.27 568330.51 473367.19 568321.78 473376.4 568329.57 473379.7 568333.58 473380.88 568339.72 473379.46 568346.33 473374.03 568352.47 473366.95 568356.25 473356.09 568357.9 473322.33 568359.55 473285.51 568359.55 473243.49 568361.91 473212.28 568364.87 473230.04 568388.86 473227.9 568425.81 473195.94 568462.41 473169.66 568516.53,g_238,EPSG:2180,2,Psk,PL.PZGIK.BDOT10k.PTGNA.04.6310
2CE79A9C-9328-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN04,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_736,0025_736,0050_736,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,468859.92 572221.77 468865.54 572269.72 468882.5 572280.89 469005.64 572246.85 469011.44 572244.72 469032.11 572236.9 469068.31 572223.3 469054.39 572168.2 469019.16 572177.67 468998.44 572103.38 468986.31 572092.13 468862.29 572125.57 468880.05 572209.64 468859.92 572221.77,g_271,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.631
2CE79A9C-9329-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTGN04,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_736,0025_736,0050_736,0100_736_small,true,inapplicable,true,inapplicable,true,inapplicable,473820.97 575213.49 473830.16 575231.56 473839.06 575252.32 473851.22 575250.2 473868.34 575248.64 473893.01 575244.77 473920.43 575240.98 473954.86 575240.27 473981.06 575243.28 474023.38 575242.64 474045.05 575241.48 474074.23 575246.39 474091.86 575253.04 474108.33 575255.93 474130 575260.55 474139.51 575263.03 474151.92 575263.84 474159.62 575264.34 474163.69 575264.6 474151.74 575211.61 474106.38 575204.91 474094.33 575157.54 474069.41 575133.03 474006.29 575141.75 473985.18 575063.25 473930.36 575076.96 473923.71 575057.44 473917.34 575060.85 473882.6 575079.46 473862.25 575064.5 473848.54 575077.79 473855.19 575094.41 473895.89 575150.5 473876.78 575198.28 473866.4 575202.85 473820.97 575213.49,g_304,EPSG:2180,2,Inn,PL.PZGIK.BDOT10k.PTGNA.04.637
