OT_PTNZ_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTNZ_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTNZ_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTNZ_A/czyObiektBDOO/__text,OT_PTNZ_A/x_kod/__text,OT_PTNZ_A/x_skrKarto/_xsi:nil,OT_PTNZ_A/x_skrKarto/_nilReason,OT_PTNZ_A/x_katDoklGeom/__text,OT_PTNZ_A/x_zrodloDanychG/__text,OT_PTNZ_A/x_zrodloDanychA/__text,OT_PTNZ_A/x_katIstnienia/_xsi:nil,OT_PTNZ_A/x_katIstnienia/_nilReason,OT_PTNZ_A/x_rodzajReprGeom/__text,OT_PTNZ_A/x_uzytkownik/_xlink:href,OT_PTNZ_A/x_aktualnoscG/__text,OT_PTNZ_A/x_aktualnoscA/__text,OT_PTNZ_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTNZ_A/x_dataUtworzenia/__text,OT_PTNZ_A/x_kodKarto10k/_xsi:nil,OT_PTNZ_A/x_kodKarto10k/_nilReason,OT_PTNZ_A/x_kodKarto25k/_xsi:nil,OT_PTNZ_A/x_kodKarto25k/_nilReason,OT_PTNZ_A/x_kodKarto50k/_xsi:nil,OT_PTNZ_A/x_kodKarto50k/_nilReason,OT_PTNZ_A/x_kodKarto100k/_xsi:nil,OT_PTNZ_A/x_kodKarto100k/_nilReason,OT_PTNZ_A/x_kodKarto250k/_xsi:nil,OT_PTNZ_A/x_kodKarto250k/_nilReason,OT_PTNZ_A/x_kodKarto500k/_xsi:nil,OT_PTNZ_A/x_kodKarto500k/_nilReason,OT_PTNZ_A/x_kodKarto1000k/_xsi:nil,OT_PTNZ_A/x_kodKarto1000k/_nilReason,OT_PTNZ_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTNZ_A/geometria/Polygon/_gml:id,OT_PTNZ_A/geometria/Polygon/_srsName,OT_PTNZ_A/geometria/Polygon/_srsDimension,OT_PTNZ_A/rodzaj/__text,OT_PTNZ_A/_gml:id,OT_PTNZ_A/geometria/Polygon/interior/LinearRing/posList/__text,OT_PTNZ_A/x_informDodatkowa/__text
2CE79A9C-953E-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,475027.01 575137.81 475039.41 575137.91 475045.59 575137.51 475044.69 575130.19 475075.48 575118.49 475072.97 575102.37 475062.53 575058.34 475113.75 575045.53 475091.62 575000.13 475046.08 575026.8 475058.6 575046.06 475055.35 575069.65 475029.41 575068.15 475027.22 575131.84 475027.01 575137.81,g_7,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63124,,
2CE79A9C-953F-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,475214.59 574932.85 475222.42 575025.07 475256.86 575012.67 475269.17 574987.57 475270.36 574925.68 475214.59 574932.85,g_40,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63125,,
2CE79A9C-9540-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,475094.94 574800.32 475095.93 574812.33 475104.49 574811.92 475105.71 574835.38 475102.86 574838.65 475107.55 574896.98 475122.98 574894.48 475117.86 574861.46 475142.52 574854.98 475183.12 574844.3 475187.35 574861.05 475207.26 574856.36 475202.69 574837.94 475199.13 574822.29 475216.45 574818.37 475225.55 574816.48 475255.26 574810.94 475251.45 574794.1 475237.77 574796.77 475215.82 574792.79 475203.18 574795.33 475196.15 574796.6 475184 574790.3 475094.94 574800.32,g_73,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63126,,
2CE79A9C-9541-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,475972.56 574911.24 475971.14 574914.48 475967.12 574916.94 475947.05 574913.96 475946.14 574917.29 475936.36 574957.82 475983.31 574968.07 476080.21 574987.91 476083.21 574987.77 476096.95 574960.18 476109.97 574928.84 476122.49 574892.66 476143.15 574832.97 476143.49 574831.18 476141.3 574829.84 476114.7 574807.87 476110.4 574807.31 476021.65 574795.75 476022.01 574789.45 476048.05 574790.79 476051.29 574784.05 476052.05 574774.58 476052.46 574771.09 476019.56 574764.75 476006.82 574759.45 476005.48 574763.7 475998.93 574779.3 476007.85 574780.61 476011.93 574782.3 476014.84 574786.45 476016.4 574795.26 476018.9 574795.39 476016.84 574813.48 476072.6 574819.18 476098.9 574822.34 476106.87 574823.1 476098.42 574881.81 476014.63 574871.02 476012.19 574868.52 475998.58 574867 475988.56 574865.66 475982.34 574899.61 475981.31 574912.56 475972.56 574911.24,g_106,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63127,476008.15 574951.59 476009.73 574942.18 476010.85 574933.57 476012.76 574920.28 476043.54 574926.03 476077.41 574931.27 476082.28 574930.51 476080.94 574941.38 476078.12 574962.82 476069.56 574961.63 476008.15 574951.59,
2CE79A9C-9542-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,476166.97 574835.1 476166.65 574840.16 476160.39 574839.66 476152.68 574869.83 476170.06 574872.6 476177.45 574849.27 476216.02 574879.5 476210.03 574887.35 476191.79 574910.28 476181.4 574920.91 476135.61 574910.4 476115.33 574959.17 476090.24 575013.26 476094.52 575014.92 476184.09 575056.51 476195.15 575042.58 476159.23 575014.54 476213.73 574947.08 476249.17 574975.56 476270.53 574949.05 476292.28 574921.53 476231.02 574874.39 476227.26 574879.42 476221.19 574875.04 476224.35 574866.56 476193.08 574841.48 476189.29 574845.53 476181.79 574841.33 476181.45 574836.05 476166.97 574835.1,g_142,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63128,,
2CE79A9C-9543-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,476460.75 574383.1 476486.84 574395.81 476496.57 574400.44 476511.3 574374.03 476544.86 574394.04 476551.57 574381.49 476552.35 574387.64 476557.76 574392.51 476624.23 574432.8 476512.13 574631.4 476531.59 574650.2 476553.75 574666.89 476562.3 574653.03 476603.54 574582.92 476643.66 574514.72 476647.34 574516.82 476755.51 574578.48 476759.98 574570.89 476678.82 574524.53 476681.46 574520.17 476669 574512.94 476630.93 574490.87 476657.09 574446.33 476638.72 574435.92 476644.74 574425.54 476555.01 574375.07 476521.22 574356.25 476515.11 574367.2 476480.25 574346.86 476460.75 574383.1,g_175,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63129,,
2CE79A9C-9544-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,476735.1 574780.26 476736.43 574781.05 476757.1 574793.24 476770 574800.85 476802.2 574742.8 476846.16 574660.49 476806.38 574637.89 476756.27 574723.98 476763.16 574728.55 476735.1 574780.26,g_208,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63130,,
2CE79A9C-9545-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,476902.42 574704.85 476944.96 574728.11 476950.03 574711.12 476957.46 574672.07 476963.8 574635.01 476966.37 574615.71 476957.16 574609.88 476940.55 574600.51 476935.11 574609.5 476917.42 574640.32 476934.31 574650.05 476926.35 574663.59 476902.42 574704.85,g_241,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63131,,
2CE79A9C-9546-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,476253.88 574847.39 476313.02 574894.59 476353.64 574927.58 476363.29 574920.55 476367.61 574902.83 476372.29 574864.78 476314.83 574856.2 476318.51 574812.78 476297.47 574796.98 476253.88 574847.39,g_274,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63132,,
2CE79A9C-9547-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTNZ02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,475683.86 574346.76 475742.57 574377.4 475761.8 574236.89 475738.53 574269.71 475683.86 574346.76,g_307,EPSG:2180,2,Tps,PL.PZGIK.BDOT10k.PTNZA.04.63133,,
