OT_PTPL_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTPL_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTPL_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTPL_A/czyObiektBDOO/__text,OT_PTPL_A/x_kod/__text,OT_PTPL_A/x_skrKarto/_xsi:nil,OT_PTPL_A/x_skrKarto/_nilReason,OT_PTPL_A/x_katDoklGeom/__text,OT_PTPL_A/x_zrodloDanychG/__text,OT_PTPL_A/x_zrodloDanychA/__text,OT_PTPL_A/x_katIstnienia/_xsi:nil,OT_PTPL_A/x_katIstnienia/_nilReason,OT_PTPL_A/x_rodzajReprGeom/__text,OT_PTPL_A/x_uzytkownik/_xlink:href,OT_PTPL_A/x_aktualnoscG/__text,OT_PTPL_A/x_aktualnoscA/__text,OT_PTPL_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTPL_A/x_dataUtworzenia/__text,OT_PTPL_A/x_informDodatkowa/__text,OT_PTPL_A/x_kodKarto10k/__text,OT_PTPL_A/x_kodKarto25k/__text,OT_PTPL_A/x_kodKarto50k/__text,OT_PTPL_A/x_kodKarto100k/__text,OT_PTPL_A/x_kodKarto250k/_xsi:nil,OT_PTPL_A/x_kodKarto250k/_nilReason,OT_PTPL_A/x_kodKarto500k/_xsi:nil,OT_PTPL_A/x_kodKarto500k/_nilReason,OT_PTPL_A/x_kodKarto1000k/_xsi:nil,OT_PTPL_A/x_kodKarto1000k/_nilReason,OT_PTPL_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTPL_A/geometria/Polygon/_gml:id,OT_PTPL_A/geometria/Polygon/_srsName,OT_PTPL_A/geometria/Polygon/_srsDimension,OT_PTPL_A/materialNawierzchni/__text,OT_PTPL_A/_gml:id,OT_PTPL_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTPL_A/x_kodKarto10k/_xsi:nil,OT_PTPL_A/x_kodKarto10k/_nilReason,OT_PTPL_A/x_kodKarto25k/_xsi:nil,OT_PTPL_A/x_kodKarto25k/_nilReason,OT_PTPL_A/x_kodKarto50k/_xsi:nil,OT_PTPL_A/x_kodKarto50k/_nilReason,OT_PTPL_A/x_kodKarto100k/_xsi:nil,OT_PTPL_A/x_kodKarto100k/_nilReason,OT_PTPL_A/x_skrKarto/__text,OT_PTPL_A/materialNawierzchni/_xsi:nil,OT_PTPL_A/materialNawierzchni/_nilReason,OT_PTPL_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTPL_A/geometria/Polygon/interior/2/LinearRing/posList/__text
2CE79A9C-965D-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,Parking,0010_140,0025_140,0050_140,0100_140,true,inapplicable,true,inapplicable,true,inapplicable,477428.26 573275 477430.99 573304.4 477434.21 573342.55 477437.59 573382.53 477443.59 573446.7 477445.19 573465.77 477449.95 573522.36 477450.6 573555.91 477449.18 573570.29 477452.19 573571.09 477451.04 573582.04 477449.85 573587.47 477446.74 573594.88 477438.18 573607.72 477429.22 573618.77 477419.56 573630.22 477401.59 573647.63 477395.37 573654.13 477391.66 573657.41 477374.98 573673.56 477365.26 573682.63 477325.3 573720.89 477308.35 573734.27 477303.34 573738.36 477294.34 573742.6 477284.82 573745.95 477276.08 573748.43 477267.35 573749.62 477259.8 573750.28 477248.69 573749.62 477234.85 573747.48 477211.56 573742.98 477180.77 573735.87 477177.89 573747.85 477174.79 573760.73 477211.39 573768.74 477226.22 573771.92 477237.05 573774.03 477244.33 573774.89 477253.2 573775.69 477259.56 573775.55 477266.9 573775.16 477274.25 573774.43 477282.2 573773.17 477294.41 573769.39 477300.26 573767.24 477305.4 573777.98 477319.68 573772.41 477329.86 573765.93 477338.45 573759.71 477347.99 573751.9 477338.43 573742.76 477362.98 573719.73 477419.74 573665.24 477432.3 573653.19 477440.96 573644.95 477449.86 573630.65 477454.96 573622.53 477460.62 573613.85 477465.15 573604.41 477468.36 573596.48 477470.44 573589.68 477472.52 573581.19 477474.59 573566.65 477474.97 573555.14 477475.43 573540.21 477474.89 573534.1 477469.06 573466.47 477461.96 573380.58 477473.69 573379.53 477602.28 573415.89 477593.66 573440.96 477578.98 573483.68 477600.31 573490.14 477577.99 573571.5 477572.69 573574.67 477565.59 573602.05 477574.26 573604.7 477604.67 573612.9 477624.18 573619.06 477643.41 573624.41 477650.29 573630.09 477663.12 573634.59 477689.69 573642.41 477707.81 573646.97 477722.6 573652.03 477730.79 573654.94 477740.84 573659.7 477750.38 573666.04 477761.15 573663.72 477777.8 573681.71 477799.94 573652.32 477810.52 573652.72 477820.5 573653.38 477826.55 573654.04 477832.26 573653.58 477834.48 573651 477836.6 573645.71 477808.17 573637.57 477770.28 573627.3 477763.24 573625.34 477714.12 573611.19 477686.17 573603.14 477650.59 573592.88 477653.46 573579.75 477635.07 573581.46 477633.94 573584.97 477632.13 573590.98 477626.69 573589.43 477629.94 573577.43 477591.72 573566.57 477597.1 573549.02 477602.87 573529.33 477627.14 573535.78 477622.18 573555.74 477640.88 573560.55 477660.92 573494.15 477677.28 573499.91 477691.43 573504.54 477705.52 573492.18 477688.47 573483.05 477688.21 573473.24 477689.49 573464.45 477708.68 573458.23 477719.08 573440.28 477738.68 573375.63 477742.33 573363.6 477716.04 573353.12 477703.94 573351.02 477657.57 573338.04 477656.58 573342.54 477651.58 573340.75 477650.62 573344.13 477646.04 573341.69 477639.86 573366.18 477636.43 573371.6 477622 573418.34 477615.78 573448 477612.2 573447.21 477605.07 573428.34 477609.84 573429.13 477620.62 573386.25 477529.08 573362.13 477468.19 573343.06 477467.19 573334.67 477466.26 573320.77 477456.45 573326.11 477454.63 573317.27 477451.85 573304.3 477449.82 573292.39 477448.31 573282.73 477447.95 573280.79 477428.26 573275,g_7,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.63581,,,,,,,,,,,,,,
2CE79A9C-965E-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140,true,inapplicable,true,inapplicable,true,inapplicable,469412.97 572623.48 469416.88 572637.36 469430.69 572633.9 469452.05 572783.9 469452.89 572789.79 469459.35 572794.65 469463.3 572810.19 469466.75 572815.17 469471.34 572816.32 469483.97 572814.78 469511.15 572810.95 469534.52 572806.58 469532.65 572794.66 469507.32 572787.97 469515.74 572766.52 469482.19 572750.88 469471.34 572673.83 469498.08 572631.8 469539.04 572622.42 469538.88 572612.76 469612.83 572602.14 469613.71 572610.57 469661.62 572609.16 469696.56 572635.59 469706.51 572703.38 469665.67 572773.72 469684.17 572742.26 469704.56 572755.3 469709.77 572747.95 469715.94 572742.5 469720.92 572739.65 469726.37 572737.52 469734.19 572737.04 469742.02 572738.47 469752.47 572743.39 469755.22 572739.04 469773.79 572750.8 469863.66 572735.15 469866.26 572741.55 469875.22 572740.63 469871.75 572724.53 469864.47 572703.07 469856.63 572689.09 469846.86 572679.13 469834.48 572668.47 469766.81 572625.65 469746.81 572611.93 469702.59 572583.78 469680.31 572570.75 469668.26 572564.59 469656.39 572561.34 469642.99 572558.85 469628.63 572556.98 469612.25 572556.4 469585.65 572556.92 469571.49 572556.92 469564.08 572556.54 469558.34 572555.49 469553.94 572554.24 469546.66 572551.85 469536.42 572546.58 469530.43 572541.42 469527.52 572538.63 469505.19 572562.1 469412.97 572623.48,g_41,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.63582,469483.71 572598.3 469484.29 572595.24 469487.16 572591.6 469518.17 572571.87 469537.89 572569.19 469567.37 572579.15 469530.61 572585.09 469500.56 572595.43 469501.52 572598.88 469490.41 572602.33 469486.59 572601.75 469484.48 572600.41 469483.71 572598.3,,,,,,,,,,,,,
2CE79A9C-965F-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,469331.75 572688.94 469422.45 572675.4 469416.88 572637.36 469403.93 572642.05 469372.25 572661.84 469331.75 572688.94,g_77,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.63583,,,,,,,,,,,,,,
2CE79A9C-9660-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140,true,inapplicable,true,inapplicable,true,inapplicable,469444.41 573356.07 469482.25 573331.4 469488.86 573326.11 469493.89 573319.1 469496.91 573311.2 469497.65 573305.22 469496.58 573296.52 469493.89 573289.62 469488.84 573282.59 469481.74 573276.97 469473.35 573273.63 469464.83 573272.79 469451.1 573276.38 469412.81 573301.32 469406.01 573306.84 469401.88 573311.84 469398.3 573319.76 469397.01 573328.69 469398.3 573337.63 469401.87 573345.53 469408.14 573353.21 469412.04 573355.6 469412.8 573356.06 469418.45 573358.95 469427.37 573360.27 469436.03 573359.42 469444.41 573356.07,g_110,EPSG:2180,2,Zw,PL.PZGIK.BDOT10k.PTPLA.04.63584,,,,,,,,,,,,,,
2CE79A9C-9661-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,477805.64 574877.08 477806.71 574909.98 477806.66 574922.79 477878.64 574919.25 477877.82 574912.24 477877.85 574875 477847.21 574874.86 477816.89 574876.14 477805.64 574877.08,g_143,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.63369,,,,,,,,,,,,,,
2CE79A9C-9662-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140,true,inapplicable,true,inapplicable,true,inapplicable,477836.13 573034 477837.88 573042.5 477838.02 573048.57 477907.69 573079.67 477915.19 573058.03 477928.46 573019.71 477910.51 573010.56 477921.33 572989.92 477918.7 572978.13 477916.63 572977.46 477875.13 572962.73 477836.13 573034,g_176,EPSG:2180,2,Pb,PL.PZGIK.BDOT10k.PTPLA.04.63370,,,,,,,,,,,,,,
2CE79A9C-9663-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,477889 573747.49 477907.24 573753.04 477905.18 573759.25 477897.51 573785.97 477896.14 573791.13 477920.24 573798.1 477930.2 573762 477918.35 573758.6 477923.63 573739.82 477893.23 573730.83 477889 573747.49,g_209,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.63371,,,,,,,,,,,,,,
2CE79A9C-9664-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,477902.84 573495.29 477907.82 573496.73 477942.04 573506.64 477947.08 573508.1 477948.77 573503 477960.65 573463.99 477936.02 573466.55 477927.51 573466.08 477916.14 573464.63 477914.16 573465.95 477912.04 573469.65 477908.34 573480.37 477902.84 573495.29,g_242,EPSG:2180,2,Zw,PL.PZGIK.BDOT10k.PTPLA.04.63372,,,,,,,,,,,,,,
2CE79A9C-9665-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,477931.58 573047.35 478027.42 573090.99 478028.88 573080.97 478030.32 573076.51 478033.92 573063.01 478036.17 573054.94 478016.33 573049.8 477949.31 573018.35 477945.74 573016.85 477941.65 573025.66 477931.58 573047.35,g_275,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.63373,,,,,,,,,,,,,,
2CE79A9C-9666-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTPL01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,,0010_140,0025_140,0050_140,0100_140_small,true,inapplicable,true,inapplicable,true,inapplicable,478000.53 573313.46 478015.39 573318.5 478020.7 573300.47 478022.34 573301.37 478051.53 573309.55 478055.94 573310.2 478061.52 573290.32 478064.2 573280.99 478020.17 573268.41 478013.17 573266.41 478005.04 573296.22 478000.53 573313.46,g_308,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.63374,,,,,,,,,,,,,,
