OT_PTRK_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTRK_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTRK_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTRK_A/czyObiektBDOO/__text,OT_PTRK_A/x_kod/__text,OT_PTRK_A/x_skrKarto/_xsi:nil,OT_PTRK_A/x_skrKarto/_nilReason,OT_PTRK_A/x_katDoklGeom/__text,OT_PTRK_A/x_zrodloDanychG/__text,OT_PTRK_A/x_zrodloDanychA/__text,OT_PTRK_A/x_katIstnienia/_xsi:nil,OT_PTRK_A/x_katIstnienia/_nilReason,OT_PTRK_A/x_rodzajReprGeom/__text,OT_PTRK_A/x_uzytkownik/_xlink:href,OT_PTRK_A/x_aktualnoscG/__text,OT_PTRK_A/x_aktualnoscA/__text,OT_PTRK_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTRK_A/x_dataUtworzenia/__text,OT_PTRK_A/x_kodKarto10k/__text,OT_PTRK_A/x_kodKarto25k/__text,OT_PTRK_A/x_kodKarto50k/__text,OT_PTRK_A/x_kodKarto100k/__text,OT_PTRK_A/x_kodKarto250k/_xsi:nil,OT_PTRK_A/x_kodKarto250k/_nilReason,OT_PTRK_A/x_kodKarto500k/_xsi:nil,OT_PTRK_A/x_kodKarto500k/_nilReason,OT_PTRK_A/x_kodKarto1000k/_xsi:nil,OT_PTRK_A/x_kodKarto1000k/_nilReason,OT_PTRK_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/_gml:id,OT_PTRK_A/geometria/Polygon/_srsName,OT_PTRK_A/geometria/Polygon/_srsDimension,OT_PTRK_A/rodzaj/__text,OT_PTRK_A/_gml:id
2CE79A9C-9803-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712,true,inapplicable,true,inapplicable,true,inapplicable,473116.04 576031.79 473121.46 576034.69 473134.64 576036.95 473153.99 576039.12 473176.75 576042.07 473196.71 576046.63 473239.46 576053.05 473257.58 576056.21 473263.85 576061.52 473268.43 576067.07 473271.15 576071.65 473272.21 576064.33 473273.84 576058.68 473274.28 576057.05 473277.43 576050.16 473281.18 576040.69 473281.81 576028.86 473282.19 576000.89 473281.06 575958.35 473282.58 575947.67 473285.33 575941.86 473292.05 575937.59 473279.75 575916.97 473280.09 575902.85 473299.25 575884.01 473329.9 575864.17 473339.52 575861.69 473367.47 575865.41 473396.97 575870.69 473410.32 575872.86 473419.02 575876.9 473428.02 575892.74 473431.44 575897.09 473436.41 575899.26 473438.58 575898.64 473441.06 575896.15 473440.44 575888.7 473438.89 575881.25 473439.51 575877.21 473441.37 575874.42 473459.71 575870.55 473461.55 575868.26 473475.64 575865.3 473469.39 575854.43 473465.88 575849.67 473462.81 575844.05 473460.23 575835.75 473462.04 575820.35 473465.79 575808.23 473468.68 575795.35 473474.16 575779.17 473480.12 575761.94 473485.11 575749.86 473491.85 575735.33 473501.77 575718.95 473509.7 575706.38 473518.16 575695.6 473527.69 575684.08 473555.42 575656.15 473572.41 575638.74 473584.93 575626.7 473610.21 575602.03 473631.7 575580.9 473643.34 575569.9 473664.78 575548.11 473680.86 575532.26 473691.49 575521.61 473716 575536.51 473732.66 575527.42 473747.8 575527.42 473765.98 575534.99 473973.5 575665.26 473978.24 575668.27 473988.94 575650.76 473996.72 575644.93 474008.39 575642.98 474023.13 575646.36 474024.46 575642.6 474042.61 575617.36 474050.14 575599.21 474049.25 575591.68 474039.07 575573.97 474031.12 575557.83 473988.26 575556.78 473953.46 575556.23 473933.57 575550.71 473824.75 575475.58 473823.09 575450.17 473825.85 575438.02 473829.17 575430.29 473835.8 575415.37 473842.98 575404.32 473851.26 575399.35 473865.63 575403.77 473921.8 575443.54 473917.85 575438.69 473907.28 575427.06 473900.94 575416.14 473883.32 575385.84 473863.59 575358.71 473846.39 575323.59 473844.73 575341 473837.6 575359.5 473828 575375.64 473813.72 575395.05 473796.81 575414.92 473789.94 575423 473771.41 575441.21 473759.18 575453.92 473743.54 575467.96 473719 575450.88 473697.62 575436 473692.56 575434.69 473687.57 575436.09 473677.86 575438.75 473668.06 575440.61 473658.65 575443.43 473647.57 575448.04 473632.4 575453.04 473607.84 575458.78 473580.5 575466.15 473549.02 575475.02 473515.18 575483.12 473499.05 575487.54 473477.43 575493.09 473447.97 575498.09 473424.34 575503.09 473414.29 575505.52 473386.28 575516 473372.25 575521.96 473366.42 575524.23 473356.52 575528.32 473348.26 575531.21 473340.82 575533.44 473335.12 575537.03 473329.23 575542.28 473325.79 575547.33 473311.48 575557.42 473293.49 575567.72 473260.23 575580.82 473234.02 575589.89 473224.44 575590.9 473209.83 575588.88 473206.81 575588.88 473202.77 575592.91 473199.28 575603.23 473193.71 575627.35 473190.92 575653.06 473188.98 575663.93 473185.71 575674.22 473182.81 575684.27 473178.99 575696.76 473178.87 575707.52 473177.69 575721.82 473176.38 575737.38 473170.25 575765.94 473161.85 575807.85 473156.22 575836.74 473147.82 575884.83 473141.58 575919.86 473137.04 575932.19 473133.92 575939.7 473133.25 575949.09 473131.41 575962.47 473127.3 575980.59 473116.04 576031.79,473714.58 575495.85 473706.86 575505.25 473695.25 575517.61 473691.16 575515.02 473660.96 575495.93 473657.22 575491.79 473668.31 575481.53 473678.12 575473.86 473693.48 575482.4 473711.12 575493.61 473714.58 575495.85,g_7,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.6313
2CE79A9C-980D-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712,true,inapplicable,true,inapplicable,true,inapplicable,465754.42 572571.58 465796.91 572585.32 465918.05 572629.78 465985.62 572652.99 466055.45 572668.22 466060.18 572605.3 466062.51 572455.88 465867.08 572386.97 465822.4 572377.73 465774.54 572375.89 465773.78 572413.04 465771.65 572455.47 465765.65 572510.22 465760.03 572544.7 465754.42 572571.58,,g_43,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.631
2CE79A9C-9804-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_713,0050_712_small,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,476881.38 570945.26 476885.62 570969.76 476890.47 570985.39 476895.47 571001.51 476899.65 571015 476904.93 571032 476920.41 571024.16 476932.09 571011.67 476932.78 570981.42 476920.4 570925.2 476884.31 570936.5 476881.38 570945.26,,g_76,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.638
2CE79A9C-9805-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,474540.67 574161.62 474560.94 574217.76 474566.55 574232.88 474586.31 574237.82 474593.59 574247.48 474602.03 574255.92 474616.22 574225.36 474622.67 574193.86 474626.82 574173.57 474630.86 574174.3 474637.28 574155.03 474637.46 574151.36 474637.46 574144.57 474634.86 574121.86 474597.11 574134.48 474586.65 574138.88 474577.48 574142.19 474549.61 574150.5 474540.67 574161.62,,g_109,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.633
2CE79A9C-9806-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,476303.97 575110.09 476362.93 575137.43 476410.22 575018.91 476417.28 575002.7 476414.02 575000.11 476377.8 574971.43 476369.47 574964.78 476361.72 574981.35 476338.05 575039.31 476331.6 575042.47 476303.97 575110.09,,g_142,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.637
2CE79A9C-9807-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_734,0050_712_small,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,475037.62 573850.52 475065.83 573836.1 475074.58 573829.78 475082.04 573816.29 475086.67 573804.6 475041.69 573802.2 475037.62 573850.52,,g_175,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.635
2CE79A9C-9808-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,474964.54 571972.97 474981.21 571977.44 474987.97 571987.26 474996.69 571993.15 475009.11 571996.42 475019.79 572003.61 475027.64 572017.79 475035.27 572026.95 475042.46 572030.88 475052.71 572030.88 475073.85 572034.8 475100.88 572036.33 475111.12 572040.25 475120.93 572049.85 475126.65 572059.53 475148.59 572073.63 475162.4 572080.56 475172.94 572084.86 475184.34 572088.31 475196.17 572093.47 475200.25 572096.48 475201.97 572101.43 475204.34 572106.6 475212.59 572100.77 475220.44 572098.59 475227.63 572090.74 475229.81 572082.67 475233.08 572075.91 475232.43 572067.19 475224.58 572060.43 475202.35 572057.15 475184.04 572052.79 475174.44 572040.14 475179.11 572021.92 475169.89 572013.97 475157.08 572006.93 475139.39 571997.46 475126.04 571996.29 475097.73 571985.13 475076.24 571972.2 475050.97 571963.36 475025.08 571955.14 475013.08 571952.62 474996.66 571949.46 474988.45 571945.67 474976.31 571967.74 474964.54 571972.97,,g_208,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.634
2CE79A9C-9809-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,470578.89 572691.61 470649.74 572793.43 470661.6 572810.48 470666.25 572817.17 470681.24 572838.71 470703.76 572872.07 470710.66 572867.19 470736.91 572848.63 470718.97 572819.1 470696.4 572782.9 470664.66 572725.77 470648 572697.09 470631.05 572671.47 470610.76 572643.88 470598.19 572654.7 470609.76 572671.03 470589.16 572684.76 470578.89 572691.61,,g_241,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.6311
2CE79A9C-980A-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,478384.65 571080.5 478401.29 571102.42 478420.83 571118.54 478443.54 571129.37 478450.81 571108.23 478442.89 571080.23 478452.39 571065.44 478474.58 571055.4 478488.31 571062.27 478544.22 571034.86 478519.07 571025.82 478499.53 571023.18 478488.17 571013.4 478483.15 570998.87 478469.42 570992 478440.64 570991.48 478426.11 570997.02 478402.61 571048.01 478384.65 571080.5,,g_274,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.639
2CE79A9C-980B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,PTRK02,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,475617.96 571516.74 475622.97 571528.77 475639.01 571562.36 475652.04 571615.01 475831.26 571721.79 475832.85 571713.83 475774.98 571641.84 475740.47 571606.51 475703.57 571567.47 475690.82 571552.86 475677.29 571528.67 475623.47 571498.19 475617.96 571516.74,,g_307,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.636
