OT_PTUT_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTUT_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTUT_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTUT_A/czyObiektBDOO/__text,OT_PTUT_A/x_kod/__text,OT_PTUT_A/x_skrKarto/_xsi:nil,OT_PTUT_A/x_skrKarto/_nilReason,OT_PTUT_A/x_katDoklGeom/__text,OT_PTUT_A/x_zrodloDanychG/__text,OT_PTUT_A/x_zrodloDanychA/__text,OT_PTUT_A/x_katIstnienia/_xsi:nil,OT_PTUT_A/x_katIstnienia/_nilReason,OT_PTUT_A/x_rodzajReprGeom/__text,OT_PTUT_A/x_uzytkownik/_xlink:href,OT_PTUT_A/x_aktualnoscG/__text,OT_PTUT_A/x_aktualnoscA/__text,OT_PTUT_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTUT_A/x_dataUtworzenia/__text,OT_PTUT_A/x_kodKarto10k/__text,OT_PTUT_A/x_kodKarto25k/__text,OT_PTUT_A/x_kodKarto50k/__text,OT_PTUT_A/x_kodKarto100k/__text,OT_PTUT_A/x_kodKarto250k/_xsi:nil,OT_PTUT_A/x_kodKarto250k/_nilReason,OT_PTUT_A/x_kodKarto500k/_xsi:nil,OT_PTUT_A/x_kodKarto500k/_nilReason,OT_PTUT_A/x_kodKarto1000k/_xsi:nil,OT_PTUT_A/x_kodKarto1000k/_nilReason,OT_PTUT_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/_gml:id,OT_PTUT_A/geometria/Polygon/_srsName,OT_PTUT_A/geometria/Polygon/_srsDimension,OT_PTUT_A/gatunek/__text,OT_PTUT_A/rodzaj/__text,OT_PTUT_A/_gml:id,OT_PTUT_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTUT_A/x_informDodatkowa/__text,OT_PTUT_A/geometria/Polygon/interior/2/LinearRing/posList/__text
2CE79A9C-9BF4-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,467783.97 572731.39 467817.78 572735.95 467830.13 572737.99 467832.88 572738.68 467834.89 572739.64 467836.29 572732.75 467836.48 572731.82 467842.5 572702.28 467869.04 572709.78 467871.27 572710.41 467880.55 572700.43 467890.9 572689.74 467887.26 572660.02 467880.11 572659.87 467809.61 572655.49 467805.87 572706.2 467786.62 572704.12 467784.53 572725.66 467783.97 572731.39,g_7,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.631,,,,
2CE79A9C-9BF7-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,470599.57 570186.75 470645.64 570193.72 470737.28 570207.78 470747.7 570139.91 470645.23 570126.65 470610.41 570122.05 470599.57 570186.75,g_41,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.634,,,,
2CE79A9C-9BFB-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,470920.72 570371.56 470960.68 570377.25 470964.88 570347.88 470970.3 570338.09 471024.5 570299.97 471057.54 570275.15 471058.53 570260.67 471019.49 570255.33 471014.59 570291.09 471013.73 570296.18 470994.58 570293.12 470982.21 570291.01 470988.68 570249.68 470978.29 570248.31 470971.73 570285.74 470934.92 570281.8 470920.72 570371.56,g_75,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.638,,,,
2CE79A9C-9BFF-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,471146.48 570406.26 471194.45 570411.22 471200.48 570371.02 471201.31 570365.01 471202.75 570352.3 471174.75 570346.92 471164.57 570343.96 471159.57 570340.44 471158.05 570337.27 471181.61 570339.69 471184.28 570319.54 471206.84 570321.83 471238.22 570325.63 471239 570319.96 471244.91 570279.36 471165.66 570268.95 471164.13 570274.59 471161.24 570292.67 471158.46 570313.96 471157.16 570327.29 471157.37 570332.42 471157.53 570336.18 471151.52 570356.6 471149.43 570377.2 471146.48 570406.26,g_109,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.6312,,,,
2CE79A9C-9C03-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,472055.21 571421.73 472055.81 571435.88 472056.34 571458.57 472056.5 571465.22 472056.77 571476.74 472056.72 571481.55 472112.02 571479.25 472110.67 571453.6 472132.5 571452.9 472134.21 571479.64 472158.99 571477.3 472188.03 571476.11 472214.88 571475.01 472214.76 571471.67 472214.87 571463.44 472214.87 571455.4 472214.26 571445.81 472212.78 571435.25 472211.68 571427.58 472197.71 571428.27 472191.05 571428.48 472186.58 571428.66 472183 571428.36 472171.6 571427.91 472130.85 571427.24 472120.91 571427.08 472109.24 571426.52 472106.29 571426.38 472079.49 571425.1 472055.21 571421.73,g_143,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.6316,,,,
2CE79A9C-9BA1-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,477999.39 571221.49 478009.42 571243.84 478028.79 571286.98 478047.95 571329.67 478090.46 571263.99 478059.05 571194.65 477999.39 571221.49,g_177,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.6357,,,,
2CE79A9C-9BA3-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,478146.84 567768.8 478154.29 567772.8 478208.2 567801.7 478226.14 567811.31 478243.58 567777.64 478280.57 567798.36 478294.45 567772.72 478275.74 567762.98 478268.47 567759.22 478256.28 567751.98 478249.99 567761.2 478234.24 567752.99 478174.42 567720.74 478146.84 567768.8,g_211,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.6359,,,,
2CE79A9C-9BB0-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,480109.63 571018.18 480129.32 571043.24 480139.34 571055.99 480147.26 571066.31 480164.69 571089.02 480188.67 571066.3 480195.54 571058.92 480201.8 571052.64 480172.65 571022.86 480185.71 571008.7 480149.57 570974.04 480143.69 570980.53 480109.63 571018.18,g_245,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.6372,,,,
2CE79A9C-9BB1-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,480946.82 575722.01 480949.27 575724.6 480968.49 575744.88 480988.73 575766.25 480996.05 575773.97 481023.11 575749.22 481038.28 575737.62 481069.95 575715.76 481037.61 575677.6 481014.39 575654.28 480980.3 575690.25 480969.36 575702.36 480961.65 575710.47 480956.28 575715.55 480952.37 575719.16 480946.82 575722.01,g_279,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.6373,,,,
2CE79A9C-9C1B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTUT03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,475584.47 570241.92 475586.1 570273.48 475640.94 570271.34 475641.26 570302.31 475641.97 570332.96 475658.35 570332.46 475674.03 570331.38 475675 570301.59 475670.79 570284.39 475672.76 570274.86 475671.64 570262.8 475670.23 570229.7 475653.26 570228.71 475626.54 570230.55 475604.13 570231.78 475594.61 570233.31 475589.39 570235.77 475584.47 570241.92,g_313,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.6342,,,,
