OT_PTWP_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTWP_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTWP_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTWP_A/czyObiektBDOO/__text,OT_PTWP_A/x_kod/__text,OT_PTWP_A/x_skrKarto/_xsi:nil,OT_PTWP_A/x_skrKarto/_nilReason,OT_PTWP_A/x_katDoklGeom/__text,OT_PTWP_A/x_zrodloDanychG/__text,OT_PTWP_A/x_zrodloDanychA/__text,OT_PTWP_A/x_katIstnienia/_xsi:nil,OT_PTWP_A/x_katIstnienia/_nilReason,OT_PTWP_A/x_rodzajReprGeom/__text,OT_PTWP_A/x_uzytkownik/_xlink:href,OT_PTWP_A/x_aktualnoscG/__text,OT_PTWP_A/x_aktualnoscA/__text,OT_PTWP_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTWP_A/x_dataUtworzenia/__text,OT_PTWP_A/x_kodKarto10k/__text,OT_PTWP_A/x_kodKarto25k/__text,OT_PTWP_A/x_kodKarto50k/__text,OT_PTWP_A/x_kodKarto100k/__text,OT_PTWP_A/x_kodKarto250k/_xsi:nil,OT_PTWP_A/x_kodKarto250k/_nilReason,OT_PTWP_A/x_kodKarto500k/_xsi:nil,OT_PTWP_A/x_kodKarto500k/_nilReason,OT_PTWP_A/x_kodKarto1000k/_xsi:nil,OT_PTWP_A/x_kodKarto1000k/_nilReason,OT_PTWP_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTWP_A/geometria/Polygon/_gml:id,OT_PTWP_A/geometria/Polygon/_srsName,OT_PTWP_A/geometria/Polygon/_srsDimension,OT_PTWP_A/poziomWody/__text,OT_PTWP_A/rodzaj/__text,OT_PTWP_A/katIstnienia/_xsi:nil,OT_PTWP_A/katIstnienia/_nilReason,OT_PTWP_A/_gml:id,OT_PTWP_A/PRNG/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTWP_A/PRNG/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTWP_A/zbiornikWodny1/_xlink:href,OT_PTWP_A/x_kodKarto100k/_xsi:nil,OT_PTWP_A/x_kodKarto100k/_nilReason,OT_PTWP_A/geometria/Polygon/interior/LinearRing/posList/__text,OT_PTWP_A/x_kodKarto25k/_xsi:nil,OT_PTWP_A/x_kodKarto25k/_nilReason,OT_PTWP_A/x_kodKarto50k/_xsi:nil,OT_PTWP_A/x_kodKarto50k/_nilReason,OT_PTWP_A/ciek2/_xlink:href
2CE79A9C-9C82-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601_small,0050_601_small,0100_601_small,true,inapplicable,true,inapplicable,true,inapplicable,473247.27 571642.34 473258.48 571643.99 473263.56 571613.18 473252.58 571611.17 473247.27 571642.34,g_7,EPSG:2180,2,47.5,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.6353,,,,,,,,,,,
2CE79A9C-9C83-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601_small,0050_601_small,0100_601_small,true,inapplicable,true,inapplicable,true,inapplicable,473116.37 571542.2 473119.72 571550.37 473154.45 571534.58 473151.11 571528.29 473149.99 571526.4 473116.37 571542.2,g_42,EPSG:2180,2,43.1,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.6354,,,,,,,,,,,
2CE79A9C-9C84-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601,0050_601_small,0100_601_small,true,inapplicable,true,inapplicable,true,inapplicable,473795.72 570314.04 473796.6 570308.9 473793.22 570295.23 473795.28 570288.61 473804.69 570279.79 473808.36 570275.24 473812.92 570264.21 473816.74 570257.89 473815.71 570253.19 473807.48 570250.69 473795.43 570254.22 473780.58 570262.89 473769.56 570271.71 473762.35 570282.15 473756.77 570297.43 473757.21 570306.25 473761.91 570313.16 473771.17 570317.43 473779.7 570319.04 473787.78 570317.72 473795.72 570314.04,g_77,EPSG:2180,2,44.4,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.6355,,,,,,,,,,,
2CE79A9C-9C85-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601,0050_601,0100_601,true,inapplicable,true,inapplicable,true,inapplicable,467838.5 572034.81 467831.03 572056.81 467830.46 572072.41 467819.43 572079.83 467819.22 572088.01 467822.47 572094.66 467819.81 572110.45 467823.04 572123.01 467824.38 572137.65 467833.89 572167.14 467831.98 572201.75 467825.52 572232 467826.47 572251.4 467824.38 572262.24 467821.33 572269.47 467809.54 572289.44 467811.25 572296.67 467819.81 572302.57 467839.21 572305.99 467852.15 572305.61 467861.28 572298.76 467874.97 572278.03 467889.43 572268.33 467937.55 572250.83 467973.12 572240.56 468013.53 572235.11 468026.31 572230.05 468032.58 572225.95 468038.61 572220.64 468043.2 572215.1 468045.91 572204.65 468051.9 572192.64 468056.42 572183.95 468058.31 572182.06 468061.26 572180.72 468063.95 572180.31 468066.24 572180.56 468072.67 572181.35 468075.38 572181.8 468078.2 572183.16 468081.47 572187.67 468085.42 572191.96 468089.71 572194.22 468098.17 572194.44 468107.35 572191.94 468134.6 572185.67 468163.54 572181.33 468201.41 572176.51 468229.87 572174.82 468255.43 572174.34 468281 572174.82 468298.36 572172.65 468310.37 572167.33 468334.91 572153.63 468382.46 572144.12 468415.18 572137.84 468451.13 572123.96 468487.27 572109.12 468522.01 572096.62 468532.29 572095.56 468539.43 572096.82 468542.37 572098.85 468547.79 572098.85 468553.32 572097.05 468558.06 572094.9 468559.8 572092.82 468561.33 572086.44 468561.55 572083.05 468563.88 572075.5 468565.99 572071.44 468574.14 572062.58 468581.59 572057.26 468599.25 572050.28 468608.88 572047.74 468619.54 572046.26 468638.34 572047.68 468671.32 572047.33 468687.99 572045.91 468705.37 572040.94 468726.12 572038.81 468744.03 572038.46 468757.15 572032.79 468764.6 572021.44 468773.11 572017.54 468785.82 572021.95 468792.71 572030.52 468797.71 572038.61 468809.3 572044.07 468827.18 572045.78 468841.26 572040.26 468853.62 572033.04 468860.71 572025.69 468859.29 572017.54 468845.63 572015.54 468827.75 572017.44 468816.91 572018.77 468808.92 572017.63 468800.74 572015.16 468793.32 572010.09 468781.97 572004.41 468764.24 572000.51 468750.53 572000.7 468719.71 571999.75 468689.62 572001.41 468653.47 572008.39 468623.09 572013.63 468606.42 572018.6 468597.55 572021.79 468589.39 572028.18 468580.88 572038.11 468573.43 572043.78 468566.86 572046.75 468557.21 572046.75 468551.66 572044.1 468547.08 572040 468541.78 572033.97 468535.26 572032.04 468531.41 572033 468526.97 572037.75 468521.3 572043.43 468512.08 572049.81 468496.83 572057.61 468472.71 572065.77 468453.92 572074.28 468444.69 572079.96 468437.6 572083.5 468428.48 572084.82 468386.18 572100.88 468347.52 572116.13 468336.17 572116.84 468324.82 572112.23 468315.95 572109.75 468274.81 572119.68 468208.49 572127.12 468130.11 572132.8 468108.48 572136.7 468100.68 572140.25 468095.36 572150.18 468092.16 572159.4 468081.52 572159.75 468072.3 572156.92 468070.88 572148.76 468078.33 572139.89 468088.26 572123.22 468088.97 572109.39 468084.01 572104.07 468075.14 572102.65 468065.56 572106.55 468055.99 572112.23 468050.31 572154.08 468043.93 572161.53 468034 572162.59 468026.07 572154.99 468023.71 572120.99 468025.49 572109.04 468025.49 572099.82 468022.65 572090.59 468026.2 572079.96 468025.55 572073.99 468025.84 572065.77 468024.02 572057.24 468023.71 572051.23 468021.61 572045.06 468017.75 572038.31 468012.69 572032.52 468008.1 572032.76 468005.69 572034.69 468004.49 572037.59 468004.49 572040.72 468004.49 572044.58 468006.66 572050.13 468011.48 572057.85 468013.65 572064.24 468015.82 572070.63 468016.3 572078.11 468013.65 572086.55 468009.55 572094.26 468009.31 572098.85 468011.72 572124.17 468014.37 572175.3 468014.64 572184.18 468011.76 572194.01 468008.96 572198.76 468006.09 572203.36 468001.5 572208.18 467997.23 572212.19 467993.84 572214.22 467988.87 572215.91 467970.66 572222 467967.42 572214.7 467919.31 572228.71 467913.14 572231.12 467903.44 572232.93 467896.3 572236.5 467886.6 572242.73 467881.67 572240.78 467880.96 572237.21 467886.31 572213.3 467888.45 572195.11 467886.2 572188.07 467879.56 572183.04 467866.66 572176.52 467855.63 572175.48 467850.63 572169.06 467848.41 572135.98 467848.14 572131.92 467847.24 572120.55 467844.58 572115.73 467843.85 572110.42 467846.03 572096.19 467850.85 572084.38 467854.47 572079.31 467860.02 572073.52 467874.61 572068.5 467884.88 572061.27 467888.87 572063.36 467888.11 572074.77 467894.2 572078.58 467902.95 572074.01 467911.51 572061.08 467921.21 572049.86 467921.96 572031.32 467911.51 572026.99 467894.76 572028.09 467880.38 572018.28 467855.95 572023.14 467838.5 572034.81,g_112,EPSG:2180,2,35,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.63179,47830,PL.PZGIK.204,PL.PZGiK.994.0463__OT_ZbiornikWodny.xml#OT_ZbiornikWodny.47830,,,,,,,,
2CE79A9C-9C87-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601_small,0050_601_small,,true,inapplicable,true,inapplicable,true,inapplicable,470994.56 569566.04 470994.24 569563.87 470992.52 569561.77 470989.27 569561.08 470982.1 569561.02 470980.7 569561.95 470980.44 569563.66 470981.25 569565.32 470983.43 569566.36 470988.89 569566.83 470991.33 569567.5 470993.6 569567.26 470994.56 569566.04,g_150,EPSG:2180,2,36.5,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.63181,,,,true,inapplicable,,,,,,
2CE79A9C-9C88-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601,0050_601,0100_601,true,inapplicable,true,inapplicable,true,inapplicable,469622.12 571789.15 469599.94 571794.22 469569.21 571805.26 469534.21 571822.46 469500.9 571840.66 469452.77 571869.3 469420.45 571881.03 469368.74 571901.02 469350.25 571913.05 469343.39 571923.33 469340.62 571932.19 469333.21 571938.25 469307.52 571943.87 469272.53 571952.9 469254.47 571960.8 469232.41 571986.73 469202.68 572009.31 469178.02 572016.96 469162.01 572017.76 469114.5 572022.32 469081.26 572029.99 469054.56 572031.31 469044.38 572032.15 469012.54 572031.67 468994.93 572033.36 468979.26 572040.11 468964.79 572046.38 468951.1 572049.55 468945.79 572052.2 468943.14 572056.3 468942.42 572062.57 468942.18 572070.77 468944.35 572075.35 468946.37 572078.91 468951.22 572083.76 468954.59 572084.12 468957.97 572084.49 468965.21 572084.49 468975.34 572082.8 468985.23 572082.07 468992.22 572081.83 469040.22 572072.91 469092.55 572064.71 469149.23 572054.58 469174.04 572047.29 469203.28 572039.73 469216.8 572029.49 469228.53 572014.88 469247.43 571990.81 469266.43 571987.31 469290.78 571981.11 469323.39 571964.57 469347.05 571950.79 469372.55 571931.81 469393.91 571919.94 469414.59 571912.15 469426.98 571906.46 469450.18 571903.48 469466.49 571898.42 469482.8 571889.7 469495.43 571876.14 469517.01 571847.72 469534.31 571840.76 469576.05 571815.74 469614.36 571798.1 469639.27 571797.16 469654.24 571797.9 469666.27 571802.37 469673.73 571811.82 469675.52 571827.63 469680.64 571835.14 469686.07 571838.53 469695.56 571842.26 469729.02 571846.74 469737.29 571845.83 469762.33 571849.5 469785.3 571845.14 469793.34 571841.92 469794.48 571837.1 469792.88 571831.36 469786.91 571825.61 469779.78 571819.87 469770.83 571817.11 469754.06 571818.03 469726.42 571827 469710.82 571830.73 469697.6 571831.07 469690.47 571827.68 469683.77 571821.07 469676.41 571806.05 469669.79 571796.82 469648.57 571789.84 469622.12 571789.15,g_185,EPSG:2180,2,35.6,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.63182,47830,PL.PZGIK.204,PL.PZGiK.994.0463__OT_ZbiornikWodny.xml#OT_ZbiornikWodny.47830,,,,,,,,
2CE79A9C-9C89-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601,0050_601,0100_601_small,true,inapplicable,true,inapplicable,true,inapplicable,471365.54 571557.02 471387.5 571555.32 471403.98 571551.93 471420.05 571544.75 471427.24 571538.83 471431.25 571537.03 471435.16 571537.45 471440.55 571542.53 471445.31 571544.01 471450.38 571542.74 471452.92 571538.41 471451.12 571532.59 471445.31 571528.05 471437.91 571526.67 471417.09 571527.62 471392.46 571523.61 471377.88 571521.28 471367.94 571521.49 471356 571524.35 471334.75 571533.54 471330.84 571536.93 471330 571542.74 471332.75 571548.24 471338.77 571552.36 471365.54 571557.02,g_223,EPSG:2180,2,39.5,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.6336,,,,,,,,,,,
2CE79A9C-9C8A-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Prz,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601_small,0050_601_small,,true,inapplicable,true,inapplicable,true,inapplicable,474622.1 574074.36 474622.1 574078.18 474622.84 574080.81 474625.38 574081.82 474629.82 574081.99 474631.66 574081.25 474632.85 574078.22 474633.49 574074.45 474632.67 574072.43 474629.8 574071.28 474623.83 574071.52 474622.1 574074.36,g_258,EPSG:2180,2,62.5,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.6356,,,,true,inapplicable,,,,,,
2CE79A9C-9C8B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601_small,0050_601_small,0100_601_small,true,inapplicable,true,inapplicable,true,inapplicable,474165.14 569323.49 474166.72 569326.36 474169.48 569326.98 474173.4 569327.13 474176.08 569325.97 474176.92 569323.21 474176.86 569315.03 474175.36 569312.51 474169.82 569311.99 474167.39 569312.38 474166.1 569314.24 474165.14 569323.49,g_293,EPSG:2180,2,48.5,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.6357,,,,,,,,,,,
2CE79A9C-9C8C-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTWP03,true,inapplicable,Dok,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_601,0025_601_small,0050_601_small,0100_601_small,true,inapplicable,true,inapplicable,true,inapplicable,474202.03 569300.93 474202.18 569304.51 474203.18 569306.23 474206.41 569306.51 474213.91 569306.23 474220.78 569305.37 474223.5 569304.37 474223.79 569302.79 474222.36 569300.93 474219.5 569299.5 474212.77 569299.64 474205.18 569299.64 474202.89 569299.93 474202.03 569300.93,g_328,EPSG:2180,2,47.8,Ps,true,inapplicable,PL.PZGIK.BDOT10k.PTWPA.04.6358,,,,,,,,,,,
