OT_PTZB_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTZB_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTZB_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTZB_A/czyObiektBDOO/__text,OT_PTZB_A/x_kod/__text,OT_PTZB_A/x_skrKarto/_xsi:nil,OT_PTZB_A/x_skrKarto/_nilReason,OT_PTZB_A/x_katDoklGeom/__text,OT_PTZB_A/x_zrodloDanychG/__text,OT_PTZB_A/x_zrodloDanychA/__text,OT_PTZB_A/x_katIstnienia/_xsi:nil,OT_PTZB_A/x_katIstnienia/_nilReason,OT_PTZB_A/x_rodzajReprGeom/__text,OT_PTZB_A/x_uzytkownik/_xlink:href,OT_PTZB_A/x_aktualnoscG/__text,OT_PTZB_A/x_aktualnoscA/__text,OT_PTZB_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTZB_A/x_dataUtworzenia/__text,OT_PTZB_A/x_kodKarto10k/__text,OT_PTZB_A/x_kodKarto25k/_xsi:nil,OT_PTZB_A/x_kodKarto25k/_nilReason,OT_PTZB_A/x_kodKarto50k/__text,OT_PTZB_A/x_kodKarto100k/__text,OT_PTZB_A/x_kodKarto250k/_xsi:nil,OT_PTZB_A/x_kodKarto250k/_nilReason,OT_PTZB_A/x_kodKarto500k/_xsi:nil,OT_PTZB_A/x_kodKarto500k/_nilReason,OT_PTZB_A/x_kodKarto1000k/_xsi:nil,OT_PTZB_A/x_kodKarto1000k/_nilReason,OT_PTZB_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/_gml:id,OT_PTZB_A/geometria/Polygon/_srsName,OT_PTZB_A/geometria/Polygon/_srsDimension,OT_PTZB_A/charakter/__text,OT_PTZB_A/rodzaj/__text,OT_PTZB_A/roslinnosc/__text,OT_PTZB_A/_gml:id,OT_PTZB_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTZB_A/x_kodKarto10k/_xsi:nil,OT_PTZB_A/x_kodKarto10k/_nilReason,OT_PTZB_A/x_kodKarto50k/_xsi:nil,OT_PTZB_A/x_kodKarto50k/_nilReason,OT_PTZB_A/x_kodKarto100k/_xsi:nil,OT_PTZB_A/x_kodKarto100k/_nilReason,OT_PTZB_A/geometria/Polygon/interior/3/LinearRing/posList/__text,OT_PTZB_A/x_kodKarto25k/__text,OT_PTZB_A/x_informDodatkowa/__text,OT_PTZB_A/geometria/Polygon/interior/4/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/5/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/6/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/7/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/8/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/9/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/10/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/11/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/12/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/13/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/14/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/15/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/16/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/17/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/18/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/19/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/20/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/21/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/22/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/23/LinearRing/posList/__text,OT_PTZB_A/geometria/Polygon/interior/24/LinearRing/posList/__text
2CE79A9C-9D1D-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,473421.93 572947.24 473442.35 572948.31 473469.18 572949.71 473488.65 572950.73 473491.54 572898.45 473491.96 572890.84 473509.56 572891.62 473512.28 572830.4 473512.53 572824.74 473518.4 572825.63 473535.98 572828.14 473541.72 572828.96 473542.51 572801.75 473497.16 572795.28 473453.17 572789 473448.96 572802.74 473445.51 572814.53 473462.5 572817.2 473482.98 572820.29 473487.12 572849.98 473441.56 572844.86 473436.89 572844.34 473431.65 572864.54 473428.69 572876.41 473426.54 572888.6 473425.3 572898.82 473423.97 572917.02 473422.95 572932.44 473422.31 572942.19 473421.93 572947.24,g_7,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D1E-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,473431.92 573367.69 473433.21 573402.37 473435.17 573437.04 473502.68 573435.54 473508.68 573427.78 473513.21 573425.84 473520.11 573424.77 473520.86 573402.66 473562.23 573402.94 473556.11 573411.97 473550.07 573413.27 473566.07 573445.89 473611.13 573448.48 473609.73 573462.41 473607.89 573480.61 473606.83 573489.64 473628.33 573494.91 473674.33 573501.07 473712.45 573509.15 473711.08 573495.68 473732.18 573491.63 473731.23 573514.64 473736.79 573516.73 473756.57 573517.93 473765.48 573520.84 473786.41 573522.05 473816.69 573522.47 473830.39 573521.27 473850.37 573534.87 473849.65 573516.1 473849.2 573504.27 473892.31 573504.58 473892.5 573511.44 473892.47 573516.24 473896.69 573515.8 473909.74 573516.06 473916.81 573516.27 473918.76 573491.56 473912.08 573491.35 473911.45 573491.33 473899.08 573491.09 473884.81 573490.91 473848.66 573489.99 473847.65 573463.45 473842.7 573460.87 473826.97 573451.17 473822.04 573451.65 473820.61 573453.56 473814.73 573465.8 473810.75 573479.34 473810.09 573493.61 473817.66 573508.43 473806.75 573504.23 473787.4 573490.13 473776.18 573489.75 473732.25 573489.54 473732.72 573475.49 473733.1 573463.98 473733.61 573447.06 473739 573447.28 473739.66 573429 473740.48 573406.18 473741.3 573383.19 473714.32 573394.42 473703.88 573397.74 473694.8 573398.93 473683.01 573399.98 473672.24 573400.42 473646.62 573401.63 473614.09 573403.1 473593.6 573403.07 473570.59 573402.97 473570.58 573387.94 473570.35 573377.97 473566.64 573378.06 473566.51 573373.51 473518.88 573373.1 473512.76 573373.24 473507.63 573373.11 473502.03 573369.88 473487.58 573366 473480.68 573360.17 473441.44 573365.78 473431.92 573367.69,g_42,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63115,473628.81 573465.08 473636.4 573464.61 473645.17 573462 473659.16 573454.88 473655.84 573428.33 473684.29 573425.24 473709.3 573431.54 473710.37 573439.71 473706.57 573469.83 473700.41 573476.47 473638.77 573473.39 473628.81 573465.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D1F-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,473436.61 573462.53 473443.12 573472.84 473444.95 573475.04 473450.43 573478.45 473457.38 573481.38 473463.25 573482.45 473486.73 573473.27 473514.98 573472.19 473539.12 573474.35 473570.6 573480.6 473581.6 573480.82 473586.15 573480.78 473586.33 573468.1 473583.31 573460.77 473573.83 573458.17 473543.64 573446.32 473497.95 573447.14 473470.14 573453.61 473436.61 573462.53,g_80,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D20-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,473451.57 573323.72 473452.58 573345.88 473459.09 573345.61 473521.86 573343.13 473534.58 573343.35 473548.6 573363.41 473566.92 573364.7 473567.35 573351.11 473555.6 573331.14 473554.68 573329.04 473554.15 573326.68 473553.55 573318.33 473553.5 573313.18 473526.96 573311.69 473522.51 573320.92 473451.57 573323.72,g_115,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D21-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,473499.66 573769.09 473499.72 573775.21 473499.83 573785.28 473499.92 573794.01 473505.2 573794.36 473505.73 573858.02 473505.99 573889.15 473508.62 573889.18 473527.01 573889.41 473537.52 573889.54 473537.91 573875.12 473547.24 573875.01 473546.69 573847.39 473552.6 573847.45 473561.11 573847.54 473567.46 573847.61 473593.1 573847.88 473592.37 573813.34 473552.1 573813.34 473551.48 573771.47 473499.66 573769.09,g_150,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D22-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,473502.57 573236.8 473502.99 573269.11 473503.31 573294.33 473502.8 573302.96 473513.37 573301.09 473523.14 573298.47 473538.29 573293.22 473551.61 573288.57 473567.44 573283.15 473596.99 573272.69 473616.65 573265.74 473623.69 573263.25 473635.37 573259.01 473642.8 573256.62 473650.49 573254.76 473661.37 573252.11 473660.53 573238.69 473660.23 573216.95 473659.83 573210.69 473675.65 573210.69 473680.61 573210.15 473690.74 573210.15 473690.71 573207.87 473725.8 573206.22 473756.75 573204.77 473773.77 573203.97 473783.22 573195.1 473793 573196.51 473796.25 573203.55 473797.75 573245.19 473830.37 573244.64 473891.95 573243.59 473915.21 573244.13 473924.05 573245.31 473938.21 573247.22 473943 573203.11 473931.87 573201.85 473930.08 573201.65 473916.38 573200.1 473913.42 573199.57 473914.14 573183.19 473914.36 573178.04 473925.32 573178.52 473945.42 573179.45 473949.95 573126.89 473952.01 573106.53 473953.14 573095.43 473954.3 573086.39 473918.35 573086.43 473907.52 573088.14 473890 573086.36 473866.36 573085.64 473838.37 573086.2 473839.15 573092.44 473842.07 573114.93 473863.17 573113.83 473863.52 573116.57 473864.9 573128.5 473904.98 573128.38 473903.77 573135.24 473901.35 573142.3 473898.12 573147.95 473894.49 573153 473890.47 573158.24 473892.78 573159.59 473892.62 573206.14 473844.62 573205.97 473844.79 573155.76 473843.99 573142.93 473819.1 573142.79 473811.22 573142.84 473791.48 573142.79 473767.82 573142.88 473761.16 573142.93 473754.04 573142.99 473746.89 573143.05 473744.63 573142.94 473744.89 573164.38 473744.55 573185.83 473690.46 573188.5 473690.15 573164.78 473689.87 573143.24 473659.67 573143.95 473659.43 573122.13 473659.2 573100.69 473621.63 573101.64 473621.18 573116.69 473605.17 573115.97 473587.16 573114.89 473585.88 573162.42 473568.46 573161.75 473538.83 573162.21 473538.82 573164.65 473538.7 573193.15 473538.59 573220.5 473517.99 573220.5 473511.59 573220.47 473511.85 573236.56 473502.57 573236.8,g_185,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63119,473538.44 573257.3 473538.52 573237.9 473570.74 573238.01 473573.77 573238.05 473576.75 573238.09 473578.59 573238.36 473578.47 573256.95 473538.44 573257.3,473617.71 573236.79 473618.17 573215.58 473618.73 573197.18 473619.51 573171.49 473649.66 573172.03 473650.72 573198.08 473651.38 573214.21 473651.57 573218.86 473652.17 573233.46 473636.9 573234.78 473627.87 573235.56 473617.71 573236.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9D23-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_140,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,473505.99 573889.15 473506.2 573913.87 473509.25 573913.83 473594.78 573913.57 473593.67 573874.44 473579.06 573874.76 473547.24 573875.01 473537.91 573875.12 473537.52 573889.54 473527.01 573889.41 473508.62 573889.18 473505.99 573889.15,g_226,EPSG:2180,2,Gst,Wld,Bl,PL.PZGIK.BDOT10k.PTZBA.04.63120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9DB3-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,477180.77 573735.87 477211.56 573742.98 477234.85 573747.48 477248.69 573749.62 477259.8 573750.28 477267.35 573749.62 477276.08 573748.43 477284.82 573745.95 477279.08 573736.08 477282.52 573723.36 477189.74 573699.12 477184.58 573719.84 477182.35 573729.23 477180.77 573735.87,g_261,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9DB4-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,477208.19 573681.56 477254.67 573692.63 477268.7 573692.63 477283.85 573638.89 477292.58 573598.26 477296.89 573577.31 477293.66 573576.65 477257.92 573568.04 477239.45 573563.34 477208.19 573681.56,g_296,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CE79A9C-9DB5-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2015-02-10T00:00:00,false,PTZB01,true,inapplicable,Prz,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2015-02-10,2015-02-10,2015-02-10T00:00:00,2012-11-26,0010_723,true,inapplicable,0050_313,0100_314,true,inapplicable,true,inapplicable,true,inapplicable,477284.72 573710.77 477308.35 573734.27 477325.3 573720.89 477365.26 573682.63 477374.98 573673.56 477365.43 573662.64 477351.41 573653.71 477284.72 573710.77,g_331,EPSG:2180,2,Gst,Wld,Tr,PL.PZGIK.BDOT10k.PTZBA.04.63279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
