OT_PTPL_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTPL_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTPL_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTPL_A/czyObiektBDOO/__text,OT_PTPL_A/x_kod/__text,OT_PTPL_A/x_skrKarto/_xsi:nil,OT_PTPL_A/x_skrKarto/_nilReason,OT_PTPL_A/x_katDoklGeom/__text,OT_PTPL_A/x_doklGeom/_uom,OT_PTPL_A/x_doklGeom/__text,OT_PTPL_A/x_zrodloDanychG/__text,OT_PTPL_A/x_zrodloDanychA/__text,OT_PTPL_A/x_katIstnienia/_xsi:nil,OT_PTPL_A/x_katIstnienia/_nilReason,OT_PTPL_A/x_rodzajReprGeom/__text,OT_PTPL_A/x_uzytkownik/_xlink:href,OT_PTPL_A/x_aktualnoscG/__text,OT_PTPL_A/x_aktualnoscA/__text,OT_PTPL_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTPL_A/x_dataUtworzenia/__text,OT_PTPL_A/x_kodKarto10k/_xsi:nil,OT_PTPL_A/x_kodKarto10k/_nilReason,OT_PTPL_A/x_kodKarto25k/_xsi:nil,OT_PTPL_A/x_kodKarto25k/_nilReason,OT_PTPL_A/x_kodKarto50k/_xsi:nil,OT_PTPL_A/x_kodKarto50k/_nilReason,OT_PTPL_A/x_kodKarto100k/_xsi:nil,OT_PTPL_A/x_kodKarto100k/_nilReason,OT_PTPL_A/x_kodKarto250k/_xsi:nil,OT_PTPL_A/x_kodKarto250k/_nilReason,OT_PTPL_A/x_kodKarto500k/_xsi:nil,OT_PTPL_A/x_kodKarto500k/_nilReason,OT_PTPL_A/x_kodKarto1000k/_xsi:nil,OT_PTPL_A/x_kodKarto1000k/_nilReason,OT_PTPL_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTPL_A/geometria/Polygon/_gml:id,OT_PTPL_A/geometria/Polygon/_srsName,OT_PTPL_A/geometria/Polygon/_srsDimension,OT_PTPL_A/materialNawierzchni/__text,OT_PTPL_A/_gml:id,OT_PTPL_A/x_informDodatkowa/__text,OT_PTPL_A/x_kodKarto10k/__text,OT_PTPL_A/materialNawierzchni/_xsi:nil,OT_PTPL_A/materialNawierzchni/_nilReason,OT_PTPL_A/x_kodKarto25k/__text,OT_PTPL_A/x_kodKarto50k/__text,OT_PTPL_A/x_kodKarto100k/__text,OT_PTPL_A/x_uwagi/__text,OT_PTPL_A/geometria/Polygon/interior/LinearRing/posList/__text
37555C16-C101-48C0-A29C-88ED85065703,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Trn,Trn,true,inapplicable,KR,Uzytkownik04.xml,2016-11-28,2016-11-28,2016-12-20T00:00:00,2016-11-28,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,448354.85 582643.8 448356.75 582678.86 448397.42 582677.32 448396.33 582646.04 448392.22 582642.65 448354.85 582643.8,g_7,EPSG:2180,2,Gr,ID_37555C16-C101-48C0-A29C-88ED85065703,,,,,,,,,
2D124632-C176-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,455685.61 582260.97 455670.78 582233.69 455658.73 582239.89 455624.11 582257.7 455638.94 582285.2 455685.61 582260.97,g_41,EPSG:2180,2,,PL.PZGIK.BDOT10k.PTPLA.04.15136,Poliuretan,0010_140,true,template,,,,,
2D124632-C177-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,454963.98 582345.56 454977.79 582335.9 454955 582301.27 454941.4 582310.61 454936.66 582313.86 454945.21 582326.51 454959.58 582348.64 454963.98 582345.56,g_76,EPSG:2180,2,,PL.PZGIK.BDOT10k.PTPLA.04.15156,Poliuretan,0010_140,true,template,,,,,
2D124632-C1F7-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,455723.13 582250.06 455694.12 582194.19 455668.16 582208.16 455693.51 582256.93 455696.74 582263.15 455723.13 582250.06,g_111,EPSG:2180,2,,PL.PZGIK.BDOT10k.PTPLA.04.15144,Poliuretan,0010_140,true,template,,,,,
2D124632-C107-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,455660.39 582211.3 455636.79 582165.35 455623.08 582172.3 455646.17 582217.81 455660.39 582211.3,g_146,EPSG:2180,2,Tl,PL.PZGIK.BDOT10k.PTPLA.04.15142,,0010_140,,,0025_140,0050_140_small,0100_140_small,,
2D124632-C125-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Trn,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,454891.05 581574.46 454867.17 581537.49 454854.66 581545.86 454843.72 581553.17 454868.31 581588.74 454891.05 581574.46,g_180,EPSG:2180,2,Kp,PL.PZGIK.BDOT10k.PTPLA.04.15150,,0010_140,,,0025_140,0050_140_small,0100_140_small,Parking,
2D124632-C162-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Trn,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,455273.47 581412.45 455232.54 581367.85 455218.95 581353.04 455195.58 581375.07 455217.71 581398.02 455238.01 581421.71 455249.03 581434.56 455273.47 581412.45,g_215,EPSG:2180,2,Tl,PL.PZGIK.BDOT10k.PTPLA.04.15149,,0010_140,,,0025_140,0050_140,0100_140_small,Parking,
2D124632-C197-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,455693.51 582256.93 455668.16 582208.16 455643.09 582162.15 455636.79 582165.35 455660.39 582211.3 455646.17 582217.81 455658.73 582239.89 455670.78 582233.69 455685.61 582260.97 455693.51 582256.93,g_250,EPSG:2180,2,Kp,PL.PZGIK.BDOT10k.PTPLA.04.15143,,0010_140,,,0025_140,0050_140_small,0100_140_small,,
2D124632-C1AC-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,480052.84 578223.68 480115.85 578109.66 480153.39 578042.03 480147.84 578038.62 480120.91 578022.07 480010.76 578219.37 480006.71 578226.64 480000.93 578237.47 480009.83 578242.22 480031.95 578253.12 480035.62 578254.89 480052.84 578223.68,g_284,EPSG:2180,2,Kp,PL.PZGIK.BDOT10k.PTPLA.04.15289,,0010_140,,,0025_140,0050_140,0100_140,,
2D124632-C1AD-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Dok,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,482997.46 582626.25 483010.38 582633.04 483023.07 582588.16 483005.34 582565.84 482999.79 582562.92 482997.68 582564.08 482946.9 582599.55 482929.22 582575.8 482920.71 582562.93 482919.44 582560.55 482848.39 582606.77 482879.04 582626.91 482885.82 582619.69 482896.55 582627.35 482891.73 582635.23 482937.26 582663.68 482960.91 582679.44 482997.46 582626.25,g_318,EPSG:2180,2,Tl,PL.PZGIK.BDOT10k.PTPLA.04.15197,,0010_140,,,0025_140,0050_140,0100_140,,
2D124632-C1AE-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,484603.4 576480.52 484598.42 576458.2 484612.2 576453.85 484606.46 576439.3 484559.71 576451 484554.44 576452.32 484555.93 576460.7 484557.38 576467.51 484559.8 576474.66 484562.86 576482.95 484565.53 576490.11 484603.4 576480.52,g_352,EPSG:2180,2,Kp,PL.PZGIK.BDOT10k.PTPLA.04.15264,,0010_140,,,0025_140,0050_140,0100_140_small,,
2D124632-C1AF-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,466388.27 573874.09 466400.87 573847.53 466412.93 573830.9 466409.25 573816.66 466358.71 573833.76 466370.44 573853.29 466385.52 573889.37 466388.27 573874.09,g_386,EPSG:2180,2,Kp,PL.PZGIK.BDOT10k.PTPLA.04.15128,,0010_140,,,0025_140,0050_140,0100_140_small,,
2D124632-C1B0-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,474222.83 591221.25 474194.76 591205.53 474194.03 591206.79 474179.48 591232.51 474210.49 591250.25 474222.83 591221.25,g_420,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.1568,,0010_140,,,0025_140,0050_140_small,0100_140_small,,
2D124632-C1B1-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,472904.57 590509.88 472885.99 590471.25 472864.62 590482.27 472867.71 590488.44 472880.36 590513.71 472883.96 590521.23 472904.57 590509.88,g_454,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.1516,,0010_140,,,0025_140,0050_140_small,0100_140_small,,
2D124632-C1B2-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,474284.83 594412.53 474280.4 594364.4 474262.42 594365.26 474230.25 594366.79 474230.52 594374.33 474230.84 594384.6 474199.87 594385.55 474177.59 594386.34 474148.8 594387.22 474149.57 594413.9 474196.22 594411.82 474200.21 594407.62 474245.88 594405.95 474245.79 594412.03 474246.25 594421.63 474284.83 594412.53,g_488,EPSG:2180,2,Pb,PL.PZGIK.BDOT10k.PTPLA.04.1588,,0010_140,,,0025_140,0050_140,0100_140_small,,
2D124632-C1B3-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,474086.42 589687.16 474064.69 589624.25 474032.69 589637 474038.27 589653.82 474043.46 589667.87 474036.61 589670.4 474009.33 589681.2 474020.67 589711.56 474086.42 589687.16,g_522,EPSG:2180,2,Pb,PL.PZGIK.BDOT10k.PTPLA.04.156,,0010_140,,,0025_140,0050_140,0100_140_small,,
2D124632-C1B5-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Dok,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,474618.83 581138.25 474634.65 581136.37 474633.84 581134.55 474632.62 581129.26 474627.33 581100.81 474625.91 581096.75 474624.28 581094.51 474622.05 581092.89 474619.81 581092.07 474617.17 581092.07 474614.33 581092.68 474611.48 581093.7 474608.84 581095.53 474606.6 581097.76 474605.39 581100.61 474604.78 581103.45 474604.78 581107.31 474609.04 581139.42 474618.83 581138.25,g_556,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.15218,,0010_140,,,0025_140,0050_140_small,0100_140_small,,
2D124632-C1B6-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,473781.58 591476.1 473751.45 591454.57 473746.15 591462.35 473728.53 591450.37 473712.2 591472.14 473739.45 591492.26 473744.28 591495.73 473746.4 591492.88 473749.29 591495.04 473750.25 591493.75 473759.89 591500.91 473762.27 591502.8 473781.58 591476.1,g_590,EPSG:2180,2,Mb,PL.PZGIK.BDOT10k.PTPLA.04.1566,,0010_140,,,0025_140,0050_140,0100_140_small,,
2D124632-C1B7-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Dok,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,469494.25 568001.49 469492.55 567989.37 469490.15 567964.74 469434.3 567970.39 469438.78 567979.75 469444.89 567988.3 469453.17 567996.24 469463.25 568005.91 469481.49 568006 469494.25 568001.49,g_624,EPSG:2180,2,Zw,PL.PZGIK.BDOT10k.PTPLA.04.1526,,0010_140,,,0025_140,0050_140,0100_140_small,,
2D124632-C1B8-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,470360.83 590964.28 470344.02 590951.53 470326.32 590938.1 470309.36 590960.47 470343.86 590986.65 470360.83 590964.28,g_658,EPSG:2180,2,,PL.PZGIK.BDOT10k.PTPLA.04.1591,Poliuretan,0010_140,true,template,,,,,
2D124632-C1CC-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,455675.79 580843.36 455646.54 580794.69 455645 580795.06 455639.09 580796.97 455629.4 580799.71 455619.71 580802.19 455612.04 580804.33 455599.6 580808.65 455613.46 580830.68 455638.82 580867.34 455675.79 580843.36,g_693,EPSG:2180,2,Kp,PL.PZGIK.BDOT10k.PTPLA.04.15148,,0010_140,,,0025_140,0050_140,0100_140_small,,
2D124632-C1E3-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTPL01,true,inapplicable,Prz,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,,,,,,,,,true,inapplicable,true,inapplicable,true,inapplicable,457090.53 580121 457071.79 580097.76 457044.22 580114.06 457036.93 580118.37 456986.29 580148.81 456984.42 580149.94 456997.86 580170.02 457090.53 580121,g_727,EPSG:2180,2,Bt,PL.PZGIK.BDOT10k.PTPLA.04.15126,,0010_140,,,0025_140,0050_140,0100_140_small,,
