OT_PTRK_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTRK_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTRK_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTRK_A/czyObiektBDOO/__text,OT_PTRK_A/x_kod/__text,OT_PTRK_A/x_skrKarto/_xsi:nil,OT_PTRK_A/x_skrKarto/_nilReason,OT_PTRK_A/x_katDoklGeom/__text,OT_PTRK_A/x_doklGeom/_uom,OT_PTRK_A/x_doklGeom/__text,OT_PTRK_A/x_zrodloDanychG/__text,OT_PTRK_A/x_zrodloDanychA/__text,OT_PTRK_A/x_katIstnienia/_xsi:nil,OT_PTRK_A/x_katIstnienia/_nilReason,OT_PTRK_A/x_rodzajReprGeom/__text,OT_PTRK_A/x_uzytkownik/_xlink:href,OT_PTRK_A/x_aktualnoscG/__text,OT_PTRK_A/x_aktualnoscA/__text,OT_PTRK_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTRK_A/x_dataUtworzenia/__text,OT_PTRK_A/x_kodKarto10k/__text,OT_PTRK_A/x_kodKarto25k/__text,OT_PTRK_A/x_kodKarto50k/__text,OT_PTRK_A/x_kodKarto100k/__text,OT_PTRK_A/x_kodKarto250k/_xsi:nil,OT_PTRK_A/x_kodKarto250k/_nilReason,OT_PTRK_A/x_kodKarto500k/_xsi:nil,OT_PTRK_A/x_kodKarto500k/_nilReason,OT_PTRK_A/x_kodKarto1000k/_xsi:nil,OT_PTRK_A/x_kodKarto1000k/_nilReason,OT_PTRK_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/_gml:id,OT_PTRK_A/geometria/Polygon/_srsName,OT_PTRK_A/geometria/Polygon/_srsDimension,OT_PTRK_A/rodzaj/__text,OT_PTRK_A/_gml:id,OT_PTRK_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/3/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/4/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/5/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/6/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/7/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/8/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/9/LinearRing/posList/__text,OT_PTRK_A/geometria/Polygon/interior/10/LinearRing/posList/__text
2D124632-C27A-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,482530.21 596318.16 482518.63 596301.66 482510.01 596291.48 482497.53 596282.47 482484.02 596277.27 482470.85 596280.39 482459.07 596290.44 482451.7 596300.14 482444.51 596311.58 482441.6 596325.47 482437.23 596333.41 482429.26 596339.3 482426.84 596347.62 482424.13 596359.63 482426.69 596369.05 482436.5 596376.04 482446.94 596376.04 482455.95 596372.92 482466 596363.56 482475.7 596353.51 482482.63 596349.7 482491.3 596350.04 482502.73 596349.35 482510.36 596343.11 482520.75 596328.21 482530.21 596318.16,g_7,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1526,,,,,,,,,,,
2D124632-C27F-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712_small,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,480026.44 597542.01 480025.35 597533.06 480016.3 597446.52 480017.43 597432.66 480020.54 597424.18 480027.04 597412.87 480011.97 597418.02 479996.14 597427.63 479991.89 597431.88 479983.69 597444.89 479979.45 597453.37 479979.73 597466.38 479979.45 597478.26 479980.3 597496.92 479985.67 597507.67 479993.87 597513.04 480002.07 597514.74 480008.86 597515.87 480013.1 597518.42 480014.24 597526.33 480013.67 597532.84 480015.37 597536.23 480021.31 597540.76 480026.44 597542.01,g_41,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1521,,,,,,,,,,,
2D124632-C287-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712_small,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,467105.74 588632.11 467160.6 588665.2 467171.28 588672.11 467175.89 588673.57 467181.96 588673.57 467186.36 588671.9 467190.75 588667.92 467194.94 588662.48 467197.87 588656.4 467202.06 588645.1 467202.06 588640.28 467199.55 588637.56 467188.03 588630.44 467179.66 588624.37 467171.07 588618.92 467162.7 588613.27 467153.69 588606.78 467148.25 588601.54 467143.85 588596.52 467139.03 588589.4 467135.06 588584.79 467130.03 588580.39 467126.05 588578.93 467121.86 588579.56 467119.77 588581.65 467119.56 588585.84 467122.91 588601.33 467125.84 588606.15 467130.03 588611.38 467131.5 588615.78 467131.71 588620.18 467129.61 588623.32 467126.05 588624.99 467121.45 588625.2 467117.47 588624.78 467114.54 588625.62 467106.37 588627.51 467105.74 588632.11,g_75,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1580,,,,,,,,,,,
2D124632-C28D-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Dok,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,463600.88 580798.35 463617.42 580774.93 463582.63 580752.67 463585.52 580720.57 463554.49 580694.86 463547.38 580703.75 463534.07 580698.71 463510.68 580690.8 463503.49 580700.15 463467.49 580688.35 463600.88 580798.35,g_109,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1574,,,,,,,,,,,
2D124632-C291-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712,true,inapplicable,true,inapplicable,true,inapplicable,481459.25 594994.51 481478.9 595031.73 481493.82 595053.54 481501.09 595072.67 481510.65 595087.97 481519.45 595096.39 481540.88 595103.65 481558.09 595107.48 481577.61 595104.42 481593.67 595094.09 481614.72 595066.93 481628.49 595043.97 481621.16 595021.97 481623.48 595017.99 481634.17 595009.39 481644.94 595001.12 481648 594997.3 481650.87 594990.6 481650.87 594983.91 481649.34 594980.65 481645.32 594979.89 481639.77 594979.51 481633.84 594979.12 481629.64 594978.55 481626.77 594975.49 481624.09 594970.13 481623.13 594955.6 481616.14 594955.32 481604.83 594961.4 481590.78 594973.14 481583.28 594976.51 481578.84 594973.56 481572.25 594970.9 481552.74 594946.03 481533.99 594926.52 481523.66 594916.95 481512.95 594915.04 481499.56 594920.02 481479.66 594933.41 481461.3 594941.82 481461.68 594956.36 481460.54 594980.46 481459.25 594994.51,g_143,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1525,481525.77 594991.56 481530.55 594992.71 481534.56 594997.49 481538.2 595001.7 481545.28 595003.42 481551.4 595007.63 481557.71 595010.3 481565.75 595011.07 481571.68 595015.28 481575.12 595021.4 481574.93 595028.09 481574.74 595034.6 481570.91 595040.15 481567.66 595042.25 481560.58 595043.78 481551.4 595045.69 481543.17 595046.27 481536.48 595045.5 481532.08 595041.68 481528.63 595036.32 481524.62 595030.2 481518.88 595024.27 481516.39 595018.72 481516.39 595012.03 481516.39 595003.61 481518.69 594997.3 481520.98 594994.04 481525.77 594991.56,,,,,,,,,,
2D124632-C298-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712_small,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,473784.05 594026.5 473807.68 594013.58 473826.77 594006.24 473825.59 594000.96 473823.83 593995.09 473819.72 593987.75 473814.73 593980.11 473812.38 593975.42 473808.56 593966.02 473803.87 593963.38 473799.46 593961.91 473786.25 593962.21 473772.74 593961.03 473768.93 593956.33 473767.46 593950.46 473769.52 593934.02 473763.06 593937.54 473755.72 593942.24 473750.28 593947.23 473747.35 593953.1 473745.59 593959.27 473743.83 593969.55 473741.77 593990.39 473742.36 594003.02 473744.12 594009.18 473747.94 594014.17 473753.51 594017.99 473763.2 594021.22 473777 594024.15 473784.05 594026.5,g_180,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.158,,,,,,,,,,,
2D124632-C299-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,483196.63 593617.03 483190.21 593621.97 483179.54 593621.6 483174.75 593621.97 483171.07 593626.01 483167.02 593634.85 483167.39 593640.37 483169.97 593648.84 483179.91 593656.57 483183.96 593660.61 483184.69 593660.98 483190.21 593663.93 483202.73 593664.29 483207.14 593663.93 483211.19 593663.93 483219.29 593665.77 483225.18 593670.55 483232.54 593678.28 483238.06 593681.59 483243.22 593681.96 483310.28 593699.38 483319.75 593699.52 483326.11 593699.43 483327.92 593699.4 483331.23 593698.97 483332.43 593696.73 483331.87 593692.83 483327.83 593682.52 483323.79 593675.97 483319.27 593670.35 483318.98 593670.24 483315.14 593668.78 483308.5 593667.46 483293.56 593665.25 483283.25 593662.32 483273.52 593657.26 483237.09 593635.14 483196.63 593617.03,g_214,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1523,,,,,,,,,,,
2D124632-C29A-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712,true,inapplicable,true,inapplicable,true,inapplicable,483469.66 589731.64 483499.03 589756.46 483510.43 589734.39 483510.43 589727.78 483524.46 589718.69 483528.62 589709.03 483529.23 589702.41 483520.33 589688.78 483497.49 589676.2 483489.59 589666.32 483485.3 589660.14 483477.87 589655.19 483471.99 589653.64 483461.77 589653.64 483431.73 589647.44 483411.6 589647.44 483393.33 589652.4 483386.22 589660.18 483381.61 589656.2 483357.22 589632.72 483347.01 589624.62 483352.27 589621.13 483357.53 589617.64 483359.96 589595.6 483351.95 589580.72 483325.76 589559.37 483318.16 589555.71 483309 589555.71 483293.71 589564.21 483290.34 589569.8 483286.95 589574.41 483285.01 589575.86 483282.1 589576.83 483276.03 589572.71 483271.67 589567.13 483269.49 589562.52 483269.49 589558.88 483269.97 589553.31 483271.43 589546.76 483271.18 589542.15 483269.73 589537.3 483266.82 589532.93 483262.94 589530.26 483257.36 589524.93 483254.69 589517.17 483239.83 589512.18 483231.66 589510.08 483223.52 589514.25 483221.44 589521.07 483219.66 589529.67 483222.63 589536.49 483227.97 589541.24 483228.26 589545.68 483226.19 589548.65 483223.16 589552.82 483223.64 589558.4 483231.4 589565.68 483238.44 589572.71 483246.05 589583.93 483251.98 589593.42 483264.15 589610.31 483279.86 589627.52 483294.09 589637.17 483307.57 589647.18 483318.14 589650.86 483332.53 589655.75 483342 589661.54 483355.19 589671.59 483365.87 589678.5 483379.06 589687.29 483384.57 589693.76 483402.37 589704.95 483425.77 589721.74 483445.1 589734.46 483459.79 589735.97 483469.66 589731.64,g_248,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1513,,,,,,,,,,,
2D124632-C293-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_713,0050_712,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,476914.82 590157.95 476949.25 590134.5 476954.57 590119.68 476967.16 590107.55 476971.24 590103.62 476990.94 590084.65 476990.94 590062.77 476987.29 590049.63 476978.54 590043.8 476959.57 590035.77 476949.35 590035.77 476940.6 590043.07 476928.2 590052.55 476909.96 590059.85 476890.99 590064.96 476880.77 590077.36 476875.66 590090.49 476877.12 590110.19 476881.5 590132.81 476888.8 590147.4 476898.28 590153.24 476914.82 590157.95,g_282,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1515,,,,,,,,,,,
2D124632-C295-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTRK02,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_713,0025_734,0050_712_small,0100_712_small,true,inapplicable,true,inapplicable,true,inapplicable,483111.54 589331.2 483109.04 589331.79 483108.34 589333.27 483108.05 589335.4 483109.2 589337.69 483109.59 589339.45 483108.66 589340.15 483102.41 589337.87 483095.36 589334.59 483090.94 589333.17 483090.1 589332.9 483087.31 589333.2 483082.05 589333.2 483080.86 589334.19 483080.76 589337.57 483081.26 589340.05 483083.54 589341.2 483092.64 589346.35 483101.73 589352.35 483107.74 589355.44 483114.6 589360.59 483118.55 589362.31 483124.55 589360.76 483128.58 589357.29 483133.11 589355.98 483136.22 589356.13 483137.94 589355.1 483141.37 589348.06 483141.97 589346.63 483141.55 589345.75 483140.68 589344.98 483134.68 589343.26 483123.34 589337.75 483116.15 589332.11 483111.54 589331.2,g_316,EPSG:2180,2,Krz,PL.PZGIK.BDOT10k.PTRKA.04.1511,,,,,,,,,,,
