OT_PTUT_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTUT_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTUT_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTUT_A/czyObiektBDOO/__text,OT_PTUT_A/x_kod/__text,OT_PTUT_A/x_skrKarto/_xsi:nil,OT_PTUT_A/x_skrKarto/_nilReason,OT_PTUT_A/x_katDoklGeom/__text,OT_PTUT_A/x_doklGeom/_uom,OT_PTUT_A/x_doklGeom/__text,OT_PTUT_A/x_zrodloDanychG/__text,OT_PTUT_A/x_zrodloDanychA/__text,OT_PTUT_A/x_katIstnienia/_xsi:nil,OT_PTUT_A/x_katIstnienia/_nilReason,OT_PTUT_A/x_rodzajReprGeom/__text,OT_PTUT_A/x_uzytkownik/_xlink:href,OT_PTUT_A/x_aktualnoscG/__text,OT_PTUT_A/x_aktualnoscA/__text,OT_PTUT_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTUT_A/x_dataUtworzenia/__text,OT_PTUT_A/x_kodKarto10k/__text,OT_PTUT_A/x_kodKarto25k/__text,OT_PTUT_A/x_kodKarto50k/__text,OT_PTUT_A/x_kodKarto100k/__text,OT_PTUT_A/x_kodKarto250k/_xsi:nil,OT_PTUT_A/x_kodKarto250k/_nilReason,OT_PTUT_A/x_kodKarto500k/_xsi:nil,OT_PTUT_A/x_kodKarto500k/_nilReason,OT_PTUT_A/x_kodKarto1000k/_xsi:nil,OT_PTUT_A/x_kodKarto1000k/_nilReason,OT_PTUT_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/_gml:id,OT_PTUT_A/geometria/Polygon/_srsName,OT_PTUT_A/geometria/Polygon/_srsDimension,OT_PTUT_A/gatunek/__text,OT_PTUT_A/rodzaj/__text,OT_PTUT_A/_gml:id,OT_PTUT_A/x_informDodatkowa/__text,OT_PTUT_A/x_kodKarto10k/_xsi:nil,OT_PTUT_A/x_kodKarto10k/_nilReason,OT_PTUT_A/x_kodKarto25k/_xsi:nil,OT_PTUT_A/x_kodKarto25k/_nilReason,OT_PTUT_A/x_kodKarto50k/_xsi:nil,OT_PTUT_A/x_kodKarto50k/_nilReason,OT_PTUT_A/x_kodKarto100k/_xsi:nil,OT_PTUT_A/x_kodKarto100k/_nilReason,OT_PTUT_A/gatunek/_xsi:nil,OT_PTUT_A/gatunek/_nilReason,OT_PTUT_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTUT_A/x_skrKarto/__text,OT_PTUT_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTUT_A/geometria/Polygon/interior/3/LinearRing/posList/__text
2D124632-D93D-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,475209.55 587385.46 475214.68 587396.66 475219.06 587406.24 475224.66 587403.68 475229.31 587401.55 475234.97 587413.94 475230.33 587416.06 475227.34 587417.43 475229.88 587422.97 475234.07 587432.14 475244.23 587426.34 475253.08 587421.92 475230.17 587376.83 475210.7 587338.52 475195.11 587346.52 475177.55 587309.88 475173.01 587312.16 475165.5 587315.94 475158.61 587319.4 475159.7 587321.68 475164.23 587330.69 475179.9 587354.32 475162.73 587363.13 475180.89 587398.57 475181.24 587398.41 475209.55 587385.46,g_7,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15199,,,,,,,,,,,,,,,,
2D124632-D93F-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,469796.77 588370.14 469838.46 588385.06 469851.45 588363.44 469835.75 588355.19 469841.79 588344.96 469848.13 588332.84 469850.91 588327.38 469826.83 588314.52 469809.48 588344.91 469806.27 588349.95 469805 588351.78 469800.65 588357.57 469791.98 588368.43 469796.77 588370.14,g_42,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15686,,,,,,,,,,,,,,,,
2D124632-D940-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717,true,inapplicable,true,inapplicable,true,inapplicable,471416.88 580157.94 471396.16 580166.12 471437.05 580278.44 471458.31 580269.19 471517.8 580243.3 471592.61 580427.84 471633.77 580411.15 471616.09 580368.9 471646.83 580355.25 471615.18 580278.09 471585.38 580289.25 471570.01 580248.17 471598.53 580237.5 471572.33 580173.64 471501.22 580202.4 471504.58 580210.7 471444.76 580236.77 471416.88 580157.94,g_77,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15816,,,,,,,,,,,,,,,,
2D124632-D942-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,472006.44 591966.69 472035.04 591948.9 472010.29 591907.8 471982.49 591927.95 472006.44 591966.69,g_112,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15158,,,,,,,,,,,,,,,,
2D124632-D943-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,481405.35 582964.69 481453.47 583049.19 481491.99 583026.92 481488.16 583020.9 481517.81 583004.18 481489.24 582945.77 481455.03 582954.62 481463.31 582968.94 481478.47 582993.75 481474.08 582996.38 481469 582999.41 481459.74 583005.24 481455.15 583007.97 481447.34 582994.89 481427.29 582960.58 481405.35 582964.69,g_147,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15960,,,,,,,,,,,,,,,,
2D124632-D944-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,470307.65 587050.63 470316.51 587054.45 470344.12 586990.75 470331.63 586987.63 470300.39 586979.98 470286.46 586975.97 470283.51 586975.13 470233.92 587046.29 470246.26 587054.15 470269.94 587015.94 470314.37 587032.67 470307.65 587050.63,g_182,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15662,,,,,,,,,,,,,,,,
2D124632-D951-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,481813.81 582237.77 481829.27 582289.87 481837.41 582315.08 481841.35 582326.79 481935.61 582275.81 481930.36 582265.21 481899.32 582280.31 481891.04 582255.97 481899.83 582251.45 481885.27 582221.84 481856.85 582229.62 481843.11 582233.39 481826.3 582233.89 481813.81 582237.77,g_217,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15959,,,,,,,,,,,,,,,,
2D124632-D952-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,473695.39 585090.62 473673.33 585033.07 473614.87 585059.82 473607.15 585063.68 473619.56 585096.77 473630.63 585093.97 473628.94 585087.95 473639.69 585084.92 473640.3 585087.07 473669.41 585075.2 473671.95 585074.16 473679.08 585096.34 473686.1 585093.95 473691.19 585092.22 473695.39 585090.62,g_252,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15889,,,,,,,,,,,,,,,,
2D124632-D954-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_731,0050_717_small,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,471341.18 583179.89 471373.35 583181.43 471375.77 583149.07 471362.16 583148.53 471350.74 583148.09 471342.5 583147.56 471341.18 583179.89,g_287,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15822,,,,,,,,,,,,,,,,
2D124632-D958-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTUT03,true,inapplicable,Prz,m,5,Ort,Trn,true,inapplicable,ZU,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_719,0025_717,0050_717,0100_717_small,true,inapplicable,true,inapplicable,true,inapplicable,479997.03 581003.67 479992.08 581008.28 479988.4 581014.16 479986.19 581025.69 479984.97 581035.75 479981.98 581046.96 479995.08 581054.25 479999.08 581056.47 480000.77 581057.41 479999.01 581060.92 480015.64 581070.16 480041.18 581084.09 480039.8 581087.14 480037.16 581092.56 480031.96 581103.89 480047.64 581112.95 480050.3 581107.88 480094.56 581130.53 480112.64 581138.55 480122.11 581117.37 480108.28 581110.65 480061.41 581086.63 480071.64 581067.09 479997.03 581003.67,g_322,EPSG:2180,2,Jbl,Sad,PL.PZGIK.BDOT10k.PTUTA.04.15929,,,,,,,,,,,,,,,,
