OT_PTWZ_A/idIIP/BT_Identyfikator/lokalnyId/__text,OT_PTWZ_A/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_PTWZ_A/idIIP/BT_Identyfikator/wersjaId/__text,OT_PTWZ_A/czyObiektBDOO/__text,OT_PTWZ_A/x_kod/__text,OT_PTWZ_A/x_skrKarto/__text,OT_PTWZ_A/x_katDoklGeom/__text,OT_PTWZ_A/x_doklGeom/_uom,OT_PTWZ_A/x_doklGeom/__text,OT_PTWZ_A/x_zrodloDanychG/__text,OT_PTWZ_A/x_zrodloDanychA/__text,OT_PTWZ_A/x_katIstnienia/_xsi:nil,OT_PTWZ_A/x_katIstnienia/_nilReason,OT_PTWZ_A/x_rodzajReprGeom/__text,OT_PTWZ_A/x_uzytkownik/_xlink:href,OT_PTWZ_A/x_aktualnoscG/__text,OT_PTWZ_A/x_aktualnoscA/__text,OT_PTWZ_A/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_PTWZ_A/x_dataUtworzenia/__text,OT_PTWZ_A/x_kodKarto10k/__text,OT_PTWZ_A/x_kodKarto25k/__text,OT_PTWZ_A/x_kodKarto50k/__text,OT_PTWZ_A/x_kodKarto100k/__text,OT_PTWZ_A/x_kodKarto250k/_xsi:nil,OT_PTWZ_A/x_kodKarto250k/_nilReason,OT_PTWZ_A/x_kodKarto500k/_xsi:nil,OT_PTWZ_A/x_kodKarto500k/_nilReason,OT_PTWZ_A/x_kodKarto1000k/_xsi:nil,OT_PTWZ_A/x_kodKarto1000k/_nilReason,OT_PTWZ_A/geometria/Polygon/exterior/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/_gml:id,OT_PTWZ_A/geometria/Polygon/_srsName,OT_PTWZ_A/geometria/Polygon/_srsDimension,OT_PTWZ_A/rodzaj/__text,OT_PTWZ_A/_gml:id,OT_PTWZ_A/x_informDodatkowa/__text,OT_PTWZ_A/surowiec/__text,OT_PTWZ_A/geometria/Polygon/interior/0/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/1/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/2/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/3/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/4/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/5/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/6/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/7/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/8/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/9/LinearRing/posList/__text,OT_PTWZ_A/geometria/Polygon/interior/10/LinearRing/posList/__text
2D124632-EBB2-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTWZ02,hłd.,Dok,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_430,0025_430,0050_430_small,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,473876.1 581871.97 473879.79 581850.58 473870.43 581840.15 473869 581838.64 473862.83 581832.14 473845.87 581831.4 473817.84 581844.68 473813.42 581846.15 473797.19 581855.74 473774.33 581867.54 473765.48 581878.6 473767.69 581888.92 473775.07 581895.57 473780.23 581897.78 473789.08 581891.14 473794.98 581888.93 473805.3 581893.35 473814.89 581893.35 473821.53 581890.4 473825.95 581890.4 473842.92 581888.93 473866.52 581881.55 473876.1 581871.97,g_7,EPSG:2180,2,Zwl,PL.PZGIK.BDOT10k.PTWZA.04.1513,,,,,,,,,,,,,
2D124632-EBB3-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTWZ02,hłd.,Dok,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_430,0025_430,0050_430_small,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,474173.63 581792.47 474153.59 581816.68 474146.08 581843.39 474148.58 581860.92 474159.44 581885.96 474177.8 581916.01 474187.82 581918.51 474199.5 581916.84 474206.18 581908.5 474208.68 581884.29 474206.18 581849.23 474207.01 581815.01 474173.63 581792.47,g_41,EPSG:2180,2,Zwl,PL.PZGIK.BDOT10k.PTWZA.04.1514,,,,,,,,,,,,,
2D124632-EBB4-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTWZ02,hłd.,Dok,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_430,0025_430,0050_430,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,474056.57 582787.22 474085.47 582801.09 474106.28 582801.09 474117.27 582801.31 474121.88 582816.69 474133.44 582820.74 474143.84 582816.12 474143.77 582797.06 474151.35 582793 474151.93 582774.51 474136.33 582697.64 474132.28 582693.6 474056 582701.69 474040.97 582702.27 474033.46 582716.14 474038.66 582750.81 474047.33 582777.97 474056.57 582787.22,g_75,EPSG:2180,2,Zwl,PL.PZGIK.BDOT10k.PTWZA.04.1515,,,,,,,,,,,,,
2D124632-EBB5-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2013-01-01T00:00:00,false,PTWZ02,hłd.,Dok,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2012-11-26,2012-11-26T00:00:00,2012-11-26,0010_430,0025_430,0050_430_small,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,474441.46 582240.52 474425.86 582234.16 474409.68 582235.31 474396.39 582241.67 474395.23 582251.5 474394.65 582286.17 474406.21 582332.4 474410.26 582349.74 474424.47 582351.57 474426.51 582350.55 474440.89 582343.38 474448.4 582335.29 474451.87 582324.89 474443.78 582315.64 474444.93 582304.66 474455.65 582301.03 474455.33 582294.84 474444.86 582253.82 474441.46 582240.52,g_109,EPSG:2180,2,Zwl,PL.PZGIK.BDOT10k.PTWZA.04.1516,,,,,,,,,,,,,
2D124632-EBAF-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTWZ01,żw.,Prz,m,1,Trn,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,463980.96 578562.82 463897.12 578391.06 463822.3 578435.06 463909.32 578602.05 463980.96 578562.82,g_143,EPSG:2180,2,Wrb,PL.PZGIK.BDOT10k.PTWZA.04.1510,Zakład Górniczy Czarne Złoto Snake s.c.,Zw,,,,,,,,,,,
2D124632-EBB8-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTWZ02,hłd.,Dok,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_430,0025_430,0050_430,0100_430_small,true,inapplicable,true,inapplicable,true,inapplicable,464166.14 569266.31 464169.01 569234.36 464230.29 569241.65 464234.48 569201.37 464241.43 569165.22 464245.57 569152.2 464248.77 569143.4 464255.98 569134.68 464181.01 569153.16 464175.56 569154.29 464161.24 569151.57 464111.38 569142.6 464102.53 569160.24 464102.36 569166.16 464119.06 569220.82 464123.92 569236.22 464131.55 569267.85 464166.14 569266.31,g_179,EPSG:2180,2,Zwl,PL.PZGIK.BDOT10k.PTWZA.04.153,,,,,,,,,,,,,
2D124632-EBB7-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTWZ01,piask.,Dok,m,1,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,462794.66 570035.18 462809.44 570028.05 462825.81 570026.46 462855.38 570021.18 462914.18 569994.73 462888.24 569985.65 462869.18 569977.72 462844.73 569965.25 462813.61 569942.04 462805.87 569948.41 462790.39 569968.37 462782.31 569977.83 462773.01 569994.77 462770.37 570010.62 462773.54 570028.31 462781.19 570038.08 462794.66 570035.18,g_213,EPSG:2180,2,Wrb,PL.PZGIK.BDOT10k.PTWZA.04.152,,Pk,,,,,,,,,,,
2D124632-EBC7-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTWZ01,piask.,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,482210.46 586858.48 482225.91 586853.03 482233.97 586849.99 482245.07 586848.25 482302.75 586833.88 482377.2 586811.02 482363.7 586771.4 482253.48 586802.8 482248.33 586804.27 482230.7 586807.97 482222.84 586808.6 482222.43 586808.63 482216.77 586808.41 482211.98 586807.54 482203.06 586807.76 482182.38 586816.25 482197.83 586858.91 482201.31 586860.22 482210.46 586858.48,g_248,EPSG:2180,2,Wrb,PL.PZGIK.BDOT10k.PTWZA.04.1526,,Pk,,,,,,,,,,,
2D124632-EBC8-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTWZ01,żw.,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737_small,0100_737_small,true,inapplicable,true,inapplicable,true,inapplicable,481880.12 587454.53 481915.57 587436.05 481946.39 587428.55 481961.39 587422.44 481973.05 587415.22 481977.52 587412.43 481973.68 587404.79 481963.79 587377.17 481945.28 587385.79 481927.79 587393.84 481903.67 587399.8 481882.52 587411.33 481865.06 587416.01 481847.05 587424.78 481840.48 587431.78 481840.04 587446.6 481844.48 587457.43 481855.03 587469.09 481880.12 587454.53,g_283,EPSG:2180,2,Wrb,PL.PZGIK.BDOT10k.PTWZA.04.1527,,Zw,,,,,,,,,,,
2D124632-EBCC-9CCC-E053-CA2BA8C09B42,PL.PZGiK.994.BDOT10k,2016-12-20T00:00:00,false,PTWZ01,żw.,Prz,m,5,Ort,Trn,true,inapplicable,KR,Uzytkownik04.xml,2012-11-26,2016-12-07,2016-12-20T00:00:00,2012-11-26,0010_737,0025_737,0050_737,0100_737,true,inapplicable,true,inapplicable,true,inapplicable,483435.01 592225.57 483444.67 592179.66 483451.71 592143.51 483455.69 592122.29 483456.57 592108.58 483454.36 592091.77 483449.5 592075.85 483447.73 592064.35 483445.96 592051.97 483441.09 592036.05 483429.15 592006.41 483419.87 591982.09 483417.21 591969.27 483416.12 591958.93 483428.25 591957.65 483466.27 591945.95 483479.99 591938.75 483487.64 591933.13 483492.37 591927.06 483494.17 591920.53 483493.49 591914.01 483490.79 591899.83 483487.19 591887.24 483473.24 591854.39 483459.07 591818.4 483447.37 591791.85 483432.52 591763.05 483432.07 591762.83 483424.2 591749.78 483419.03 591735.83 483412.95 591716.94 483407.33 591706.59 483400.58 591694.89 483390.46 591677.34 483378.08 591650.57 483371.78 591638.65 483363.23 591614.12 483354.69 591586.9 483347.94 591566.66 483342.76 591555.18 483333.76 591538.99 483300.52 591479.01 483239.49 591409.87 483207.27 591389.9 483142.96 591340.74 483133.28 591323.19 483120.57 591312.29 483099.39 591308.66 483068.52 591311.08 483044.76 591306.94 483036.58 591313.29 483030.1 591318.9 483035.85 591340.13 483044.92 591361.92 483060.05 591390.53 483107.87 591526.67 483112.96 591569.63 483120.25 591607.85 483259.02 591931.73 483301.62 592031.17 483307.49 592054.14 483293.94 592051.75 483282.91 592051.19 483273.84 592051.5 483260.29 592055.61 483252.23 592060.03 483248.85 592064.71 483249.89 592071.21 483256.39 592076.93 483296.89 592089.55 483304.5 592088.37 483311.76 592084.2 483322.82 592082.09 483345.94 592122.2 483360.1 592146.27 483398.33 592242.08 483435.01 592225.57,g_318,EPSG:2180,2,Wrb,PL.PZGIK.BDOT10k.PTWZA.04.1531,,Zw,483348.59 592100.81 483345.44 592098.19 483343.61 592095.04 483340.99 592091.38 483338.11 592085.09 483336.01 592078.54 483336.01 592073.56 483337.58 592070.68 483342.82 592066.75 483347.28 592062.56 483353.42 592054.56 483357.62 592049.07 483358.93 592042.52 483358.15 592026.28 483355.79 592008.2 483352.91 591995.1 483348.72 591987.5 483344 591980.96 483338.76 591973.36 483332.74 591962.88 483330.44 591957.09 483328.94 591947.69 483329.34 591938.83 483328.02 591929.74 483327.76 591929.27 483326.71 591922.14 483323.91 591915.95 483323.04 591910.49 483320.16 591906.03 483315.45 591900.27 483313.35 591897.13 483313.88 591894.77 483316.23 591892.41 483318.59 591891.23 483321.08 591890.45 483326.58 591890.05 483332.34 591890.97 483337.45 591891.89 483343.09 591893.72 483345.31 591896.08 483345.44 591896.34 483346.49 591898.83 483346.49 591901.32 483347.01 591903.41 483348.85 591906.43 483349.9 591907.6 483351.6 591909.44 483351.6 591912.71 483351.47 591915.86 483351.08 591919.65 483351.08 591925.16 483351.08 591925.42 483351.47 591927.51 483352.12 591932.49 483354.09 591937.34 483353.96 591937.47 483354.09 591940.09 483353.17 591941.4 483350.55 591942.32 483349.24 591943.89 483349.5 591946.77 483350.42 591953.97 483351.34 591957.51 483351.73 591959.21 483354.74 591964.19 483359.46 591972.7 483359.72 591973.1 483361.95 591978.99 483363.91 591985.54 483366.4 591994.05 483368.23 591997.2 483370.59 591997.59 483371.12 591997.59 483374.26 591997.85 483377.93 592000.47 483383.69 592003.88 483388.67 592012.78 483392.07 592020.64 483392.86 592029.55 483393.12 592034.53 483394.69 592039.51 483394.17 592042.65 483391.81 592044.74 483388.41 592046.32 483385 592048.15 483382.12 592051.56 483381.33 592053.91 483381.59 592056.27 483381.59 592057.06 483383.43 592061.77 483383.17 592066.75 483382.38 592069.11 483380.55 592071.73 483376.62 592073.56 483374 592075.13 483373.74 592078.28 483374.78 592082.21 483374.26 592084.83 483370.07 592087.71 483361.69 592091.38 483358.02 592094.26 483354.87 592098.71 483351.99 592100.54 483348.59 592100.81,,,,,,,,,,
